# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.015        0.000       26.246     1793.070
       0.216       29.900       40.023     2237.445
       0.417       36.125       43.828     2246.402
       0.617       41.050       44.199     2246.402
       0.818       48.525       46.867     2246.402
       1.019       36.125       48.867     2246.402
       1.220       19.925       48.867     2247.406
       1.421       24.900       48.867     2247.406
       1.621       29.900       53.121     2247.406
       1.822       62.275       69.766     2280.270
       2.023       93.450       86.594     2266.141
       2.224       90.900       98.828     2266.734
       2.424       90.950      107.996     2268.387
       2.625       70.975      102.465     2255.234
       2.826       64.775      114.398     2255.930
       3.026       54.800      123.547     2256.078
       3.227       62.300      128.941     2256.078
       3.428       66.050      135.957     2256.078
       3.628       59.800      142.207     2256.078
       3.829       59.800      157.137     2384.078
       4.030       63.500      163.379     2385.082
       4.231       68.475      181.875     2401.082
       4.432       83.350      198.121     2417.082
       4.632       72.200      186.371     2385.082
       4.833       61.050      195.125     2449.336
       5.034       57.300      208.574     2449.586
       5.235       52.300      213.918     2449.586
       5.435       61.050      214.691     2449.586
       5.636       66.025      218.949     2787.109
       5.837       54.775      217.465     2835.109
       6.038       70.900      223.547     3094.398
       6.238       58.525      229.941     3095.156
       6.439       75.975      231.223     3095.156
       6.640       81.000      232.754     3095.410
       6.841       87.200      236.113     3161.332
       7.041       78.475      238.879     3163.605
       7.242       85.975      241.445     3164.621
       7.443       83.450      245.496     3167.633
       7.643       77.200      247.859     3186.270
       7.844       62.275      248.160     3186.270
       8.045       63.525      248.660     3186.270
       8.246       61.025      248.887     3186.270
       8.446       54.800      251.910     3186.523
       8.647       58.500      251.910     3186.523
       8.848       54.825      252.684     3186.523
       9.048       49.800      253.180     3186.523
       9.249       62.225      253.938     3186.523
       9.450       70.900      253.938     3186.523
       9.651       67.200      254.191     3187.527
       9.852       62.250      256.309     3193.379
      10.053       63.525      257.836     3193.633
      10.254       51.075      261.113     3193.633
      10.454       51.075      261.879     3193.633
      10.655       56.050      262.395     3193.633
      10.856       52.325      272.973     3209.633
      11.056       57.250      272.000     3193.633
      11.257       70.975      281.363     3193.633
      11.458       47.300      285.414     3193.633
      11.659       67.200      285.930     3193.887
      11.860       51.050      286.188     3194.891
      12.060       72.250      291.438     3210.891
      12.261       87.175      299.723     3214.434
      12.462       87.150      302.996     3230.434
      12.663       90.750      322.215     3247.438
      12.864       95.900      313.590     3231.438
      13.065       93.350      313.590     3231.438
      13.266       88.325      314.594     3231.438
      13.466       84.650      317.090     3231.438
      13.667       34.800      291.176     3199.438
      13.869        0.000      277.176     3183.438
      14.071        1.250      277.176     3183.438
      14.272        0.000      277.176     3183.438
      14.473        6.225      283.430     3199.438
      14.674        0.000      283.430     3199.438
      14.875        0.000      277.430     3183.438
      15.077        0.000      277.430     3183.438
      15.279        1.250      277.430     3183.438
      15.480        2.475      281.430     3199.438
      15.682        6.200      281.430     3199.438
      15.883        1.250      277.430     3183.438
      16.085        0.000      277.430     3183.438
      16.286        0.000      277.430     3183.438
