# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.025        0.000       22.105     2826.363
       0.225       17.425       28.949     2826.383
       0.426       16.200       32.016     2826.383
       0.627       16.200       38.777     2826.383
       0.827       24.925       50.648     2827.984
       1.028       51.100      101.668     2832.605
       1.228       73.550      124.160     2832.785
       1.431       82.475      148.184     2834.785
       1.632       63.575      174.066     2834.785
       1.832       57.350      178.098     2901.789
       2.033       42.400      182.176     2903.797
       2.233       57.350      188.117     3230.816
       2.434       69.825      215.371     3557.836
       2.635       77.300      235.215     3559.836
       2.835       76.075      239.242     3951.910
       3.035       81.050      244.438     3955.312
       3.236       73.550      254.195     3965.629
       3.437       89.675      262.242     3993.977
       3.637       79.725      265.332     3994.980
       3.838       81.025      276.285     3996.980
       4.039       74.775      279.277     4002.000
       4.239       78.550      293.008     4006.926
       4.440       74.800      298.344     4010.848
       4.640       61.100      304.195     4013.852
       4.841       81.025      316.176     4015.926
       5.041       83.525      310.152     4015.926
       5.242       48.625      313.711     4019.926
       5.442       82.300      331.094     4019.926
       5.643       86.025      335.758     4019.926
       5.843       82.275      338.797     4020.930
       6.044       87.275      339.992     4028.953
       6.244       73.550      341.066     4029.957
       6.445       54.850      341.516     4029.957
       6.645       49.850      343.051     4029.957
       6.846       36.150      343.051     4029.957
       7.046       24.925      343.051     4029.957
       7.247       24.925      343.051     4029.957
       7.447       27.425      343.270     4029.957
       7.648        9.950      344.137     4029.957
       7.850        0.000      344.137     4029.957
       8.050        0.000      344.137     4029.957
       8.251        0.000      344.137     4029.957
       8.452        3.725      344.137     4029.957
       8.653        0.000      344.137     4029.957
       8.854        0.000      344.137     4029.957
       9.056        0.000      344.137     4029.957
       9.257        0.000      344.137     4029.957
