# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.007        0.000       31.414     1795.074
       0.208       29.900       43.816     2310.406
       0.409       33.650       46.902     2310.406
       0.609       32.400       50.902     2310.406
       0.810       11.225       52.902     2310.406
       1.011       24.925       61.668     2313.125
       1.211       58.625      108.883     2348.160
       1.411       54.850      108.812     2319.660
       1.612       42.400      123.367     2320.082
       1.813       46.125      132.637     2320.082
       2.013       49.850      151.652     2384.082
       2.214       43.625      158.617     2384.082
       2.414       46.100      173.359     2385.086
       2.615       52.350      179.359     2385.086
       2.815       49.875      188.098     2385.086
       3.016       49.850      235.359     2497.340
       3.216       59.850      273.801     2529.590
       3.417       46.125      214.574     2449.590
       3.618       44.875      223.348     2851.113
       3.818       56.100      228.777     3095.160
       4.019       57.350      232.309     3095.160
       4.219       74.775      234.547     3160.684
       4.420       81.000      239.629     3163.770
       4.620       71.050      255.422     3180.117
       4.821       81.025      294.961     3228.625
       5.024       76.475      322.824     3265.258
       5.224       80.975      349.809     3297.520
       5.425       58.575      356.004     3298.062
       5.625       62.300      366.305     3314.020
       5.826       53.600      408.891     3362.062
       6.027       68.550      427.734     3362.062
       6.227       57.325      440.234     3378.062
       6.428       42.375      254.680     3186.062
       6.628       41.125      254.680     3186.316
       6.829       37.400      255.438     3186.316
       7.029       44.875      256.207     3186.316
       7.230       38.650      258.164     3192.422
       7.431       43.600      269.441     3208.422
       7.631       41.100      262.047     3192.422
       7.832       33.625      263.844     3192.422
       8.033       51.100      268.727     3192.422
       8.248       47.525      280.805     3192.422
       8.449       51.125      284.605     3192.676
       8.649       43.625      285.668     3192.676
       8.850       44.875      286.184     3192.676
       9.051       63.550      304.578     3208.676
       9.251       31.150      294.242     3192.676
       9.452       42.375      297.266     3192.676
       9.652       41.150      298.309     3193.184
       9.853       46.125      299.586     3194.188
      10.053       37.400      302.102     3194.188
      10.254       36.125      302.609     3194.188
      10.455       44.900      303.125     3194.695
      10.655       66.075      362.773     3274.695
      10.856       79.775      393.793     3290.695
      11.056       76.000      437.316     3338.695
      11.257       76.000      463.703     3370.695
      11.457       71.050      478.469     3372.473
      11.658       64.750      484.469     3388.473
      11.859       76.050      494.855     3388.473
      12.059       72.250      312.465     3197.477
      12.260       38.625      313.230     3197.477
      12.461        0.000      313.230     3197.477
      12.661        0.000      297.230     3181.477
      12.863        0.000      297.230     3181.477
      13.064        2.475      297.230     3181.477
      13.265        1.250      299.926     3197.477
      13.466        3.725      302.777     3198.480
      13.667        0.000      298.441     3182.480
      13.868        0.000      298.441     3182.480
      14.070        0.000      298.441     3182.480
      14.271        0.000      298.441     3182.480
      14.472        2.475      300.441     3198.480
      14.673        0.000      298.441     3182.480
      14.875        0.000      298.441     3182.480
      15.075        0.000      298.441     3182.480
      15.276        1.250      298.441     3182.480
