# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.024        0.000       20.852     2774.199
       0.224       21.200       29.465     2826.387
       0.425       18.700       31.645     2826.387
       0.625       29.925       39.695     2826.387
       0.826       11.225       40.727     2826.387
       1.026       56.125       86.398     2831.957
       1.227       59.850      113.418     2832.789
       1.428       77.300      141.117     2832.789
       1.628       68.575      170.664     2834.789
       1.829       56.125      174.766     2901.793
       2.029       53.600      178.801     2903.801
       2.230       54.850      184.605     2905.801
       2.430       68.575      211.488     3232.820
       2.631       68.575      235.629     3560.164
       2.831       84.750      257.027     3562.625
       3.034       85.175      260.887     3561.840
       3.234       92.250      264.824     3821.906
       3.435       89.725      268.824     3959.961
       3.636       77.225      278.633     3960.965
       3.836       80.950      283.863     3987.676
       4.037       82.250      286.762     3989.719
       4.238       81.025      288.746     3990.754
       4.438       78.475      293.305     3995.105
       4.639       87.225      303.477     3995.105
       4.839       66.050      306.039     3995.105
       5.040       77.250      306.344     3999.113
       5.241       78.475      311.246     3999.113
       5.441       83.475      312.477     3999.113
       5.642       67.325      315.414     4005.961
       5.842       52.350      319.043     4008.965
       6.043       52.350      321.953     4010.965
       6.244       74.775      324.949     4010.965
       6.444       53.575      328.348     4014.965
       6.645       64.825      345.422     4014.965
       6.846       62.300      349.555     4014.965
       7.046       73.550      351.832     4015.969
       7.247       71.050      353.246     4017.969
       7.448       71.900      354.125     4017.969
       7.649       71.050      355.422     4017.969
       7.849       82.275      358.551     4019.969
       8.050       78.500      364.055     4021.969
       8.251       76.025      367.133     4023.969
       8.451       77.300      370.477     4025.969
       8.652       78.475      372.969     4025.969
       8.852       79.725      373.910     4029.977
       9.053       74.750      375.773     4029.977
       9.254       74.750      377.832     4031.977
       9.454       82.200      379.234     4031.977
       9.655       77.100      381.090     4033.977
       9.856       70.925      384.016     4033.977
      10.057       77.250      385.328     4035.977
      10.258       71.050      386.367     4037.984
      10.458       79.775      387.660     4038.004
      10.659       83.500      389.613     4040.004
      10.859       81.025      391.055     4040.004
      11.060       83.500      391.859     4040.004
      11.260       84.750      392.426     4046.027
      11.461       80.975      393.410     4046.027
      11.662       82.200      394.578     4048.027
      11.863       82.225      395.777     4051.039
      12.063       71.000      397.750     4051.039
      12.264       32.350      398.293     4051.039
      12.465        0.000      398.293     4051.039
      12.666        0.000      398.293     4051.039
      12.867        0.000      398.293     4051.039
      13.069        0.000      398.293     4051.039
      13.270        2.475      398.293     4051.039
      13.471        0.000      398.293     4051.039
      13.672        0.000      398.293     4051.039
      13.874        1.250      398.293     4051.039
      14.075        0.000      398.293     4051.039
      14.275        1.250      398.359     4051.039
      14.477        0.000      398.359     4051.039
      14.678        0.000      398.359     4051.039
      14.879        0.000      398.359     4051.039
      15.079        0.000      398.359     4051.039
