# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.002        0.000       19.746     2385.379
       0.203       41.025       63.109     2890.102
       0.404       57.100      135.098     2969.570
       0.608       60.200      265.641     3092.527
       0.810       29.775      310.270     3125.945
       1.011       39.650      335.500     3131.551
       1.212       58.400      375.180     3133.551
       1.415       53.200      410.242     3133.551
       1.616       45.875      430.668     3136.551
       1.818       43.375      438.012     3203.555
       2.019       40.975      443.625     3203.555
       2.221       48.325      451.090     3205.562
       2.424       32.075      453.898     3207.562
       2.626       42.075      476.809     3534.582
       2.828       48.200      484.266     3794.598
       3.029       43.500      488.711     3796.598
       3.231       58.300      496.730     4058.750
       3.432       66.975      501.352     4256.680
       3.635       63.000      506.168     4264.543
       3.836       51.000      510.160     4270.559
       4.036       60.975      518.906     4279.684
       4.238       50.925      529.668     4283.285
       4.439       63.225      532.238     4284.289
       4.641       64.575      538.082     4285.773
       4.843       61.775      540.988     4288.410
       5.045       64.325      544.551     4290.410
       5.246       64.700      548.785     4295.555
       5.447       47.200      551.047     4297.555
       5.648       52.200      553.363     4297.555
       5.850       40.950      556.770     4304.273
       6.052       34.625      559.887     4307.277
       6.253       53.350      562.660     4307.414
       6.455       50.925      565.492     4309.820
       6.656       41.075      569.699     4312.227
       6.857       41.025      574.117     4311.277
       7.058       73.425      586.652     4311.277
       7.259       34.800      589.184     4314.281
       7.461       59.425      591.836     4314.281
       7.663       52.000      593.152     4316.418
       7.864       70.825      597.547     4319.762
       8.066       48.275      603.613     4321.762
       8.267       28.575      607.000     4323.762
       8.468       32.275      611.602     4325.762
       8.670       32.300      613.262     4327.762
       8.871       43.450      614.750     4327.219
       9.073       39.700      617.508     4331.227
       9.273       32.350      619.891     4333.227
       9.474       53.525      622.008     4333.227
       9.677       32.050      623.852     4335.227
       9.879       39.700      626.977     4335.227
      10.080       39.775      628.273     4337.227
      10.282       59.425      630.289     4339.234
      10.483       54.625      633.145     4339.773
      10.686       54.250      634.090     4341.773
      10.887       59.700      635.324     4342.371
      11.088       62.125      636.121     4347.527
      11.289       52.225      637.961     4349.527
      11.491       52.075      642.660     4350.316
      11.692       26.075      644.160     4350.316
      11.894       14.850      644.805     4352.316
      12.096        7.400      644.805     4352.453
      12.298        0.000      644.805     4352.453
      12.501        0.000      644.805     4352.453
      12.705        0.000      644.805     4352.453
      12.907        1.250      644.805     4352.453
      13.110        0.000      644.805     4352.453
      13.311        1.250      644.805     4352.453
      13.514        0.000      644.805     4352.453
      13.717        0.000      644.805     4352.453
      13.920        1.225      644.805     4352.453
      14.123        1.225      644.855     4352.453
      14.326        0.000      644.855     4352.453
      14.529        0.000      644.855     4352.453
      14.731        1.250      644.855     4352.453
      14.933        1.250      644.855     4352.453
      15.137        0.000      644.855     4352.453
      15.339        0.000      644.855     4352.453
      15.542        0.000      644.855     4352.453
      15.743        0.000      644.855     4352.453
