# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.002        0.000       19.301     2385.605
       0.203       42.300       46.148     2867.539
       0.404       55.975      101.324     2988.961
       0.605       62.275      187.680     3087.359
       0.807       49.650      254.168     3162.262
       1.008       39.725      286.586     3195.410
       1.209       48.475      300.328     3197.410
       1.410       63.300      323.570     3199.410
       1.612       42.150      333.914     3199.410
       1.813       55.900      353.844     3202.410
       2.015       38.350      357.906     3267.414
       2.217       43.450      364.203     3269.422
       2.418       38.500      370.281     3271.422
       2.619       36.075      374.441     3271.422
       2.820       52.225      378.297     3663.445
       3.021       46.025      382.547     3926.461
       3.222       44.700      386.508     3926.461
       3.424       71.975      397.098     3928.461
       3.625       68.350      402.508     4257.539
       3.826       59.625      411.254     4261.543
       4.027       65.900      416.719     4271.008
       4.229       54.500      420.391     4281.141
       4.431       69.500      424.523     4285.465
       4.632       73.300      429.340     4288.148
       4.833       64.650      435.637     4290.156
       4.999       54.725      437.305     4290.230
       5.200       52.275      441.906     4295.273
       5.401       46.025      444.973     4296.277
       5.602       55.950      447.020     4300.285
       5.803       47.275      449.941     4300.285
       6.004       49.700      453.496     4303.285
       6.206       41.000      457.418     4308.145
       6.407       34.825      459.645     4311.148
       6.608       49.750      462.555     4311.148
       6.809       48.475      465.137     4313.148
       7.010       50.900      468.184     4313.148
       7.211       28.575      473.043     4315.148
       7.412       46.000      476.676     4317.148
       7.613       43.525      480.340     4317.148
       7.814       41.050      488.164     4317.148
       8.015       47.250      492.012     4320.152
       8.216       58.450      494.379     4320.152
       8.418       58.375      496.363     4320.152
       8.619       70.800      498.719     4322.289
       8.820       53.400      501.477     4322.152
       9.021       67.150      504.117     4324.152
       9.222       32.325      507.340     4326.152
       9.423       31.100      509.371     4328.152
       9.624       36.050      510.500     4328.152
       9.825       44.800      512.766     4330.152
      10.026       39.775      514.238     4332.160
      10.227       31.075      516.324     4334.160
      10.428       44.800      518.203     4334.160
      10.629       48.500      519.941     4336.160
      10.830       31.100      521.527     4336.160
      11.031       42.300      523.199     4338.160
      11.232       42.275      524.469     4338.160
      11.433       42.275      525.973     4340.168
      11.634       65.875      527.586     4342.438
      11.836       63.325      528.426     4342.168
      12.037       57.225      529.980     4342.168
      12.238       63.425      530.805     4344.168
      12.439       54.625      531.945     4352.199
      12.640       63.425      534.383     4352.199
      12.841       52.225      535.695     4353.203
      13.042       32.325      536.926     4355.203
      13.244       49.700      539.457     4359.219
      13.444       88.400      540.750     4359.219
      13.645       83.375      544.875     4365.234
      13.847       87.825      547.930     4365.234
      14.049       84.125      549.586     4367.234
      14.250       85.950      550.766     4367.234
      14.451       87.050      552.805     4367.234
      14.652       80.875      553.430     4367.234
      14.853       86.950      554.891     4367.234
      15.055       84.400      556.613     4367.234
      15.256       83.300      557.715     4367.234
      15.457       75.800      559.895     4367.234
      15.658       80.700      562.523     4367.234
      15.859       84.675      566.730     4367.234
      16.060       72.150      567.949     4367.234
      16.261       74.625      568.973     4367.234
      16.462       74.575      569.742     4367.234
      16.663       74.675      569.996     4367.234
      16.864       69.625      570.766     4367.234
      17.065       73.350      571.520     4367.234
      17.266       73.450      572.020     4367.234
      17.467       68.375      572.785     4367.234
      17.669       66.775      573.031     4367.234
      17.873        0.000      573.031     4367.234
      18.077        1.225      573.031     4367.234
      18.279        1.250      573.031     4367.234
      18.484        0.000      573.031     4367.234
