# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.014        0.000       22.344     2774.352
       0.214       18.700       29.574     2826.531
       0.415       14.950       32.840     2826.531
       0.616       26.175       39.801     2826.531
       0.816       34.900       69.055     2831.074
       1.017       53.600      107.129     2832.828
       1.217       74.800      130.867     2832.938
       1.418       67.325      153.734     2834.938
       1.618       58.600      174.062     2834.938
       1.819       51.100      178.383     2901.941
       2.019       68.550      188.652     2905.953
       2.220       48.575      194.074     2905.953
       2.421       73.525      200.129     3232.973
       2.621       63.550      226.586     3557.992
       2.822       76.025      255.605     3562.715
       3.022       84.750      268.375     3820.008
       3.223       79.775      282.156     3822.059
       3.424       88.500      285.902     3954.066
       3.624       80.950      288.773     3956.066
       3.825       72.175      294.762     3966.645
       4.026       84.650      301.438     3993.914
       4.227       81.000      302.992     3993.938
       4.427       83.475      305.273     3994.941
       4.628       79.725      306.621     3995.016
       4.829       83.450      317.988     3997.016
       5.029       78.475      319.219     3997.059
       5.230       76.000      321.520     3997.059
       5.431       68.525      321.637     3998.062
       5.631       77.250      323.711     4000.062
       5.832       85.975      324.629     4000.062
       6.032       77.250      327.168     4006.910
       6.233       79.750      330.469     4009.914
       6.434       77.225      333.094     4009.914
       6.635       67.300      335.281     4011.914
       6.835       76.025      337.684     4011.914
       7.036       66.025      341.996     4013.914
       7.237       74.725      346.473     4015.914
       7.437       69.750      362.375     4015.914
       7.638       61.075      364.500     4015.914
       7.838       79.775      367.469     4018.918
       8.039       75.975      367.836     4018.918
       8.240       72.225      368.703     4018.918
       8.441       78.475      370.348     4018.918
       8.641       84.700      377.805     4020.918
       8.842       43.625      382.090     4022.918
       9.042       69.800      387.230     4024.918
       9.243       36.150      389.516     4026.918
       9.444       64.825      392.078     4028.918
       9.644       69.800      393.609     4030.926
       9.846       58.325      395.586     4032.926
      10.046       78.375      396.852     4032.926
      10.247       80.950      398.188     4032.926
      10.448       78.525      400.738     4034.926
      10.649       76.025      401.926     4034.926
      10.849       68.525      403.512     4036.926
      11.050       76.000      404.707     4038.934
      11.250       81.025      407.496     4038.934
      11.451       82.250      408.688     4038.934
      11.652       82.225      409.523     4040.934
      11.852       82.200      409.848     4040.934
      12.053       82.275      410.375     4045.953
      12.254       79.700      412.641     4045.953
      12.455       84.650      413.156     4045.953
      12.655       78.350      414.129     4051.969
      12.856       77.200      415.332     4051.969
      13.057       63.525      416.188     4051.969
      13.258       49.825      416.266     4051.969
      13.459       43.500      416.551     4051.969
      13.660        0.000      416.551     4051.969
      13.862        0.000      416.551     4051.969
      14.063        3.725      416.551     4051.969
      14.264        0.000      416.551     4051.969
      14.465        0.000      416.551     4051.969
      14.666        0.000      416.551     4051.969
      14.867        0.000      416.551     4051.969
      15.068        2.500      416.551     4051.969
      15.269        0.000      416.551     4051.969
      15.470        0.000      416.551     4051.969
      15.671        1.250      416.551     4051.969
      15.872        0.000      416.551     4051.969
