# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
<<<<<<< HEAD
       0.005        0.000       29.578     3079.863
       0.207       43.475       36.395     3079.863
       0.408       67.125       51.648     3144.867
       0.610       81.875       71.387     3274.883
       0.811       81.950       79.848     3276.883
       1.012       85.750       84.105     3277.562
       1.213       84.400       91.809     3278.883
       1.416       88.875       97.539     3278.883
       1.620       85.575      106.262     3278.883
       1.822       86.875      106.777     3280.883
       2.023       88.100      110.355     3280.883
       2.225       81.800      111.906     3280.883
       2.427       81.625      116.129     3347.887
       2.629       80.500      117.707     3347.887
       2.831       78.175      122.297     3349.887
       3.032       63.225      126.371     3351.887
       3.234       75.700      130.105     3351.887
       3.441       57.900      132.297     3678.906
       3.643       64.425      134.344     4003.926
       3.844       70.775      137.105     4005.926
       4.046       69.325      140.625     4005.926
       4.248       79.325      144.168     4007.926
       4.449       86.925      145.391     4078.953
       4.650       93.050      149.129     4081.957
       4.852       75.600      152.492     4093.020
       5.054       90.475      154.285     4095.359
       5.255       89.400      157.977     4097.359
       5.457       91.725      167.023     4099.359
       5.659       89.225      182.797     4106.488
       5.860       90.625      190.738     4125.078
       6.061       86.875      195.934     4127.086
       6.263       83.125      203.941     4128.090
       6.464       91.850      206.480     4130.090
       6.666       75.650      209.586     4130.090
       6.868       79.400      211.809     4132.090
       7.069       86.875      213.688     4132.090
       7.271       88.075      218.102     4133.094
       7.472       86.750      220.152     4137.102
       7.674       70.625      217.965     4137.102
       7.876       91.675      220.309     4137.102
       8.078       82.800      220.754     4137.102
       8.279       68.275      223.754     4143.949
       8.481       67.050      226.402     4146.953
       8.682       64.625      229.312     4146.953
       8.883       83.150      233.773     4148.953
       9.087       82.300      231.707     4148.953
       9.290       79.000      238.086     4150.953
       9.492       64.225      245.480     4157.422
       9.693       81.925      293.430     4152.953
       9.895       83.200      368.000     4157.445
      10.096       83.075      366.945     4155.957
      10.298       80.675      367.770     4155.957
      10.501       73.625      373.668     4155.957
      10.703       78.100      382.234     4157.957
      10.905       88.925      386.215     4157.957
      11.107       90.550      387.152     4157.957
      11.309       66.975      392.477     4159.957
      11.510       88.125      394.277     4161.957
      11.712       73.200      402.750     4163.957
      11.913       80.700      408.840     4163.957
      12.114       69.475      410.961     4165.957
      12.316       81.925      412.535     4165.957
      12.520       81.825      413.551     4169.965
      12.722       79.350      415.418     4169.965
      12.924       69.350      416.602     4171.965
      13.126       86.650      418.320     4171.965
      13.333       86.725      421.535     4171.965
      13.535       83.100      424.004     4173.965
      13.737       80.525      433.336     4173.965
      13.940       82.350      434.816     4173.965
      14.142       84.325      435.789     4175.965
      14.343       83.100      436.637     4175.965
      14.548       71.075      437.688     4177.973
      14.749       86.825      439.477     4177.973
      14.950       89.400      439.863     4179.973
      15.156       89.975      436.504     4179.973
      15.357       89.350      437.164     4179.973
      15.567       87.100      439.090     4179.973
      15.769       88.050      439.711     4179.973
      15.970       84.250      440.176     4180.977
      16.173       86.425      441.375     4180.977
      16.374       91.750      442.105     4182.977
      16.579       86.975      443.348     4182.977
      16.780       81.900      446.258     4182.977
      16.981       64.550      447.742     4182.977
      17.183       53.325      449.340     4184.977
      17.385       14.850      449.340     4184.977
      17.586        0.000      449.340     4184.977
      17.788        1.250      449.520     4184.977
      17.989        0.000      449.520     4184.977
      18.191       47.150      452.066     4189.516
      18.392       94.325      455.270     4190.520
      18.594       93.050      455.535     4190.520
      18.795       94.375      455.934     4190.520
      18.997       95.400      456.711     4190.520
      19.198       95.625      457.656     4190.520
      19.400       95.150      458.008     4190.520
      19.602       95.550      460.121     4190.520
      19.803       93.025      461.957     4190.520
      20.005       90.625      468.141     4196.543
      20.206       94.400      470.918     4196.543
      20.408       95.475      471.766     4196.543
      20.609       94.200      472.121     4198.543
      20.811       94.300      473.457     4198.543
      21.013       94.225      474.012     4198.543
      21.214       96.675      474.531     4198.543
      21.416       94.225      479.344     4198.543
      21.617       94.275      480.012     4198.543
      21.820       95.200      482.078     4198.543
      22.023       92.275      485.156     4198.543
      22.224       94.300      486.461     4198.543
      22.426       91.725      486.691     4198.543
      22.630       92.125      487.344     4198.543
      22.831       90.575      488.344     4198.543
      23.033       92.800      488.785     4198.543
      23.235       90.425      489.324     4198.543
      23.436       90.550      490.207     4198.543
      23.645       91.200      490.504     4198.543
      23.851       87.100      491.070     4198.543
      24.060       93.400      491.250     4198.543
      24.262       91.825      491.922     4198.543
      24.480       88.125      492.449     4198.543
      24.688       86.400      492.668     4198.543
      24.895       82.200      493.492     4198.543
      25.103       89.175      493.930     4198.543
      25.304       89.300      494.188     4198.543
      25.506       87.800      494.445     4198.543
      25.708       86.825      495.078     4198.543
      25.910       88.025      495.715     4198.543
      26.111       86.775      496.434     4198.543
      26.313       91.825      496.898     4198.480
      26.515       91.375      497.555     4198.543
      26.720       90.350      498.309     4198.543
      26.922       87.825      498.621     4198.543
      27.124       87.975      499.641     4198.543
      27.325       69.500      500.086     4198.543
      27.527        0.000      500.086     4198.543
      27.728        0.000      500.086     4198.543
      27.930        1.250      500.086     4198.543
      28.132        0.000      500.086     4198.543
=======
       0.002        0.000       30.434     3087.957
       0.203       19.288       39.918     3152.961
       0.404       31.725       60.680     3152.961
       0.605       40.312       81.617     3349.980
       0.806       45.375      100.703     3351.980
       1.007       50.388      109.797     3353.980
       1.209       40.388      115.934     3355.980
       1.410       39.112      123.652     3422.984
       1.611       35.362      133.344     3491.992
