# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.005        0.000       21.699     2578.258
       0.207       37.150       33.023     2665.289
       0.409       44.550       44.062     2666.902
       0.611       61.850       56.680     2671.902
       0.814       69.150       68.254     2695.902
       1.016       51.950       75.211     2702.902
       1.220       46.400       78.047     2704.902
       1.424       63.750       88.391     2715.902
       1.637       65.900       97.844     2725.902
       1.842       60.900      104.805     2733.902
       2.045       61.850      113.309     2743.902
       2.248       66.550      133.758     2761.859
       2.451       81.100      171.605     2792.621
       2.653       71.800      197.969     2812.551
       2.855       64.150      207.660     2820.805
       3.058       66.650      220.895     2829.453
       3.262       73.500      237.484     2841.715
       3.464       79.300      259.473     2857.160
       3.666       74.350      275.125     2871.305
       3.869       65.950      281.277     2877.711
       4.075       63.450      288.652     2884.711
       4.279       76.250      301.023     2893.711
       4.481       79.050      315.918     2911.711
       4.684       64.050      324.043     2914.305
       4.886       78.900      330.816     2914.305
       5.090       76.400      336.258     2914.305
       5.293       83.600      343.992     2914.305
       5.495       71.700      349.809     2916.305
       5.697       59.350      357.750     2916.305
       5.899       76.750      365.867     2916.305
       6.101       79.150      377.781     2916.305
       6.304       77.700      393.344     2916.305
       6.513       72.850      396.051     2916.305
       6.716       81.350      396.609     2918.305
       6.919       81.250      398.957     2918.305
       7.122       81.350      406.344     2918.305
       7.324       61.950      413.527     2918.305
       7.526       61.700      418.262     2987.309
       7.729       61.550      421.082     2987.309
       7.933       80.950      423.898     2987.309
       8.135       74.200      426.977     2989.309
       8.338       79.150      429.129     2989.316
       8.540       84.100      431.812     2989.316
       8.742       83.900      436.305     2991.316
       8.944       81.650      437.328     2991.316
       9.147       66.650      438.742     2991.316
       9.349       64.400      440.457     3189.469
       9.551       64.200      443.938     3191.469
       9.753       64.500      463.809     3191.469
       9.955       74.250      465.707     3193.477
      10.157       64.450      466.793     3195.484
      10.358       81.800      470.207     3195.484
      10.560       74.300      471.613     3197.484
      10.764       73.700      474.441     3197.484
      10.965       74.400      478.316     3199.484
      11.169       78.700      481.750     3203.500
      11.372       83.750      483.137     3203.500
      11.574       86.450      483.973     3203.500
      11.778       88.300      485.320     3204.555
      11.956       91.400      486.703     3208.562
      12.158       86.650      487.938     3208.562
      12.360       86.750      488.980     3214.617
      12.562       74.200      490.078     3216.617
      12.769       79.600      491.355     3216.617
      12.977       95.850      493.410     3216.617
      13.181       88.400      494.883     3218.617
      13.384       89.050      496.766     3225.746
      13.586       78.850      497.734     3225.746
      13.789       73.950      503.297     3227.754
      13.992       76.400      505.008     3229.754
      14.195       78.850      511.816     3229.754
      14.399       88.350      513.602     3230.160
      14.601       79.150      514.848     3230.160
      14.804       76.450      515.805     3235.543
      15.007       83.650      517.395     3237.543
      15.209       79.250      518.047     3237.543
      15.411       81.750      519.523     3237.543
      15.614       85.800      519.910     3238.547
      15.819       93.100      519.691     3239.145
      16.029       95.200      519.695     3239.145
      16.231       84.100      520.441     3241.145
      16.433       69.300      521.695     3241.145
      16.637       98.150      522.363     3241.145
      16.839       93.900      524.879     3241.145
      17.041       84.200      526.066     3243.145
      17.244       59.150      527.508     3248.000
      17.448      100.350      528.738     3248.137
      17.652       86.650      532.121     3254.141
      17.860       73.550      533.633     3254.004
      18.062       88.900      535.492     3254.004
      18.265       81.400      536.688     3254.078
      18.467       89.100      538.746     3256.078
      18.672       90.550      539.715     3256.078
      18.874       98.550      541.785     3256.484
      19.078       81.150      544.227     3258.621
      19.280       64.350      545.898     3260.621
      19.482       89.000      548.012     3260.621
      19.684       84.000      555.004     3260.621
      19.886       76.500      557.875     3260.621
      20.090       93.650      559.027     3260.078
      20.293       88.900      560.223     3260.484
      20.496       98.550      561.238     3260.484
      20.698       71.750      561.941     3260.484
      20.900       88.700      562.590     3260.484
      21.105       90.500      562.590     3260.484
      21.308       81.350      562.934     3260.484
      21.510       84.150      563.352     3266.500
      21.713       88.050      563.742     3269.512
      21.918       83.200      563.758     3269.512
      22.122       81.150      563.992     3269.512
      22.324       81.600      563.992     3269.512
      22.529       85.450      564.539     3269.512
      22.737       74.350      564.809     3269.512
      22.940       78.650      565.012     3269.375
      23.159       87.050      565.434     3269.375
      23.361       81.750      565.828     3269.375
      23.563       89.200      566.930     3269.395
      23.767       83.250      567.223     3269.395
      23.970       12.250      567.875     3269.801
      24.179        0.000      567.875     3269.801
      24.381        0.000      567.875     3269.801
      24.584        0.000      567.875     3269.801
      24.786        2.450      567.875     3269.801
      24.988        0.000      567.875     3269.801
      25.195        0.000      567.875     3269.801
      25.400        7.300      567.875     3269.801
      25.608        0.000      567.875     3269.801
      25.810        0.000      567.875     3269.801
      26.014        4.900      567.875     3269.801
      26.222        0.000      567.875     3269.801
      26.428        2.400      567.875     3269.801
      26.631        0.000      567.875     3269.801
      26.835        0.000      567.875     3269.801
