# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.009        0.000       22.555     2774.348
       0.209       23.700       29.496     2826.527
       0.410       17.425       31.789     2826.527
       0.611       12.425       32.562     2826.527
       0.812       21.150       39.266     2826.527
       1.013       13.700       40.297     2826.527
       1.213       48.625       86.215     2832.047
       1.414       66.100      116.305     2832.934
       1.614       79.825      147.180     2834.934
       1.815       58.600      172.910     2834.934
       2.015       53.600      177.535     2901.938
       2.216       51.150      184.543     2905.949
       2.416       64.825      206.602     3297.973
       2.617       61.100      217.195     3559.988
       2.817       71.075      227.711     3758.004
       3.018       83.525      236.414     3954.062
       3.218       89.700      240.887     3957.102
       3.419       84.725      248.070     3963.117
       3.620       92.225      252.117     3987.820
       3.820       86.025      257.793     3994.133
       4.021       79.675      260.363     3996.133
       4.222       73.475      269.918     3996.133
       4.422       77.225      271.133     3997.137
       4.623       72.275      271.629     3999.145
       4.824       74.775      277.234     4003.172
       5.024       76.025      290.648     4010.758
       5.225       59.825      291.855     4008.996
       5.425       57.300      294.215     4010.996
       5.626       58.575      296.652     4011.070
       5.827       62.325      299.461     4013.070
       6.027       68.550      304.977     4015.070
       6.228       78.500      311.762     4015.070
       6.429       84.700      330.109     4015.070
       6.629       72.250      325.191     4015.070
       6.830       73.525      327.133     4018.074
       7.030       73.525      328.996     4018.074
       7.236       82.875      331.047     4024.098
       7.436       82.300      337.570     4024.098
       7.637       76.050      341.125     4027.102
       7.837       49.850      342.922     4027.102
       8.038       27.425      344.984     4027.102
       8.239        7.450      345.379     4027.102
       8.440        0.000      345.379     4027.102
       8.642        0.000      345.379     4027.102
       8.843        6.200      345.379     4027.102
       9.044        0.000      345.379     4027.102
       9.245        0.000      345.379     4027.102
       9.446        0.000      345.379     4027.102
       9.647        1.250      345.379     4027.102
       9.849        2.475      345.379     4027.102
      10.050        0.000      336.082     4027.102
      10.252        0.000      336.082     4027.102
      10.453        0.000      336.082     4027.102
      10.654        0.000      336.082     4027.102
