# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.007        0.000       31.199     1795.074
       0.207       23.675       43.234     2310.402
       0.408       26.175       43.648     2310.402
       0.608       36.150       49.648     2310.402
       0.809       14.950       49.648     2310.402
       1.009       34.925       69.859     2312.887
       1.210       51.125       83.062     2330.684
       1.410       47.400       98.395     2316.980
       1.611       43.650      113.621     2319.930
       1.811       36.150      125.055     2320.078
       2.012       39.900      132.316     2320.078
       2.212       46.125      141.332     2320.078
       2.413       39.875      158.219     2384.078
       2.614       47.325      166.465     2384.078
       2.814       42.375      174.703     2384.078
       3.015       49.850      199.199     2416.078
       3.216       64.725      209.449     2481.336
       3.416       46.100      192.207     2449.336
       3.617       33.625      200.715     2449.336
       3.818       33.650      209.629     2449.586
       4.018       33.675      213.215     2449.586
       4.219       38.650      213.730     2449.586
       4.419       39.875      214.504     2770.855
       4.620       52.350      225.938     3030.902
       4.821       61.075      227.457     3030.906
       5.021       68.550      233.152     3175.969
       5.222       80.925      224.617     3160.316
       5.423       73.500      225.953     3161.840
       5.623       69.775      228.262     3163.352
       5.824       67.250      234.277     3181.711
       6.024       57.350      236.684     3185.004
       6.225       42.375      241.426     3185.000
       6.426       51.100      251.953     3201.000
       6.626       48.575      248.723     3185.254
       6.827       44.875      256.445     3185.254
       7.027       36.175      257.941     3185.254
       7.228       43.600      258.457     3185.254
       7.428       46.125      258.457     3185.254
       7.629       37.350      259.434     3188.070
       7.830       42.375      260.828     3191.105
       8.030       39.900      261.859     3191.359
       8.231       46.125      266.879     3207.359
       8.431       42.400      266.941     3191.359
       8.632       46.125      268.973     3191.359
       8.832       53.600      279.758     3191.359
       9.033       51.100      282.516     3191.613
       9.234       42.375      282.773     3191.613
       9.434       52.350      283.039     3194.152
       9.635       44.875      283.297     3194.152
       9.835       58.575      283.812     3195.676
      10.036       27.425      284.070     3195.676
      10.237        0.000      284.070     3195.676
      10.438        0.000      268.070     3179.676
      10.638        0.000      268.070     3179.676
      10.840        1.250      268.070     3179.676
      11.041        0.000      268.840     3180.680
      11.241        1.250      268.840     3180.680
      11.442        0.000      268.840     3180.680
      11.643        0.000      268.840     3180.680
      11.844        1.250      268.840     3180.680
      12.045        1.250      269.086     3196.680
      12.245        0.000      268.996     3180.680
      12.447        1.250      268.996     3180.680
      12.647        0.000      268.996     3180.680
      12.848        0.000      268.996     3180.680
