# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.013        0.000       21.406     2826.363
       0.213       23.650       27.664     2826.383
       0.414       17.450       29.703     2826.383
       0.615       23.700       37.863     2826.383
       0.815       36.150       71.945     2830.438
       1.016       49.875      106.422     2832.641
       1.216       73.550      123.527     2832.785
       1.417       78.550      147.094     2834.785
       1.617       59.825      170.918     2834.785
       1.818       58.550      174.645     2901.789
       2.019       39.900      177.926     2903.789
       2.219       46.125      184.930     2905.797
       2.420       66.075      209.602     3297.820
       2.620       74.800      235.566     3626.613
       2.822       75.775      247.586     3693.852
       3.022       92.250      257.387     3952.914
       3.223       73.550      259.477     3963.973
       3.423       71.075      266.879     3988.676
       3.624       79.775      272.363     3992.684
       3.824       64.825      283.047     3996.992
       4.025       63.550      285.809     3997.996
       4.225       68.550      287.594     4001.000
       4.426       78.525      292.203     4003.152
       4.627       76.025      295.898     4007.848
       4.827       66.050      298.523     4010.852
       5.028       68.525      303.137     4010.926
       5.229       68.500      299.219     4012.926
       5.429       44.875      304.500     4014.926
       5.630       61.075      322.520     4016.926
       5.830       56.075      324.309     4016.926
       6.031       79.775      327.203     4017.930
       6.231       85.975      328.051     4024.957
       6.433       81.875      331.281     4024.957
       6.634       82.200      343.848     4026.957
       6.834       80.850      347.484     4026.977
       7.036       22.375      347.484     4026.977
       7.237        0.000      347.484     4026.977
       7.438        1.250      347.484     4026.977
       7.639        0.000      347.484     4026.977
       7.841        0.000      347.484     4026.977
       8.042        1.250      347.484     4026.977
       8.244        0.000      347.484     4026.977
       8.445        1.250      347.484     4026.977
       8.646        0.000      347.484     4026.977
       8.848        0.000      347.484     4026.977
       9.049        2.475      347.484     4026.977
       9.250        0.000      347.484     4026.977
       9.451        1.250      347.484     4026.977
       9.652        0.000      347.484     4026.977
       9.854        0.000      347.484     4026.977
