# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       46.266     3197.703
       0.204       47.200       92.430     3248.703
       0.405       63.450      153.680     3454.719
       0.609       72.575      263.406     3577.719
       0.810       65.875      291.648     3584.719
       1.011       77.175      335.133     3584.719
       1.212       62.075      357.102     3588.719
       1.413       69.525      365.070     3588.719
       1.615       58.325      375.926     3655.723
       1.816       49.725      382.727     3657.723
       2.017       47.275      387.645     3854.734
       2.218       52.275      392.637     4311.762
       2.418       72.275      403.664     4313.762
       2.619       60.950      412.355     4317.773
       2.821       73.350      423.918     4392.812
       3.022       78.200      431.410     4403.379
       3.223       73.400      443.434     4416.172
       3.424       79.575      450.594     4424.297
       3.625       67.100      457.375     4428.297
       3.826       73.275      462.859     4430.305
       4.028       70.900      466.383     4435.316
       4.229       57.200      478.934     4442.168
       4.430       52.225      485.188     4445.172
       4.631       65.750      490.070     4447.172
       4.832       64.550      497.910     4451.172
       5.034       60.925      575.121     4451.172
       5.235       60.925      605.332     4454.176
       5.435       80.900      608.090     4456.184
       5.637       85.725      610.074     4460.199
       5.837       47.325      610.832     4464.215
       6.040       28.425      612.359     4465.215
       6.241       72.125      616.168     4475.773
       6.442       95.800      616.852     4475.773
       6.643       90.800      618.445     4475.773
       6.844       90.800      620.695     4477.773
       7.044       89.600      622.652     4477.773
       7.246       90.750      624.258     4477.773
       7.447       87.000      625.730     4477.773
       7.648       89.425      627.602     4477.773
       7.849       89.575      630.379     4477.773
       8.050       84.575      632.168     4477.773
       8.252       89.175      635.324     4477.773
       8.453       78.250      636.766     4477.773
       8.655       69.475      637.887     4477.773
       8.856        4.975      637.887     4477.773
       9.058        2.475      637.887     4477.773
       9.261        0.000      637.887     4477.773
       9.463        4.925      637.887     4477.773
