# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.005        0.000       35.461     3133.020
       0.206       27.350       61.258     3203.023
       0.409       29.550       87.617     3241.023
       0.611       40.850      126.242     3290.023
       0.817       24.325      141.355     3310.023
       1.018       63.325      198.723     3503.035
       1.219       65.775      271.617     3587.035
       1.421       55.900      285.508     3589.035
       1.622       80.700      317.695     3589.035
       1.824       60.825      338.074     3589.035
       2.025       73.275      353.352     3592.035
       2.226       59.625      362.676     3657.039
       2.428       43.450      370.539     3659.039
       2.629       37.300      375.270     3661.039
       2.830       40.875      378.609     4053.062
       3.032       50.900      383.168     4313.078
       3.233       68.300      391.973     4316.078
       3.434       81.975      399.977     4319.082
       3.636       69.450      404.840     4391.109
       3.837       80.625      417.289     4391.109
       4.039       81.900      425.820     4398.398
       4.240       80.725      431.078     4408.457
       4.442       70.700      435.000     4413.977
       4.644       82.900      442.656     4436.184
       4.845       81.850      444.777     4438.191
       5.047       76.950      447.832     4440.191
       5.248       57.025      449.996     4440.191
       5.450       63.325      453.168     4442.191
       5.652       82.775      458.543     4445.191
       5.854       86.075      461.523     4446.195
       6.057       79.325      463.418     4449.199
       6.258       70.775      465.668     4449.199
       6.460       72.025      469.953     4451.199
       6.662       38.425      473.738     4458.051
       6.863       54.625      477.410     4461.055
       7.064       65.850      480.902     4463.055
       7.265       63.300      483.594     4463.055
       7.467       45.875      490.414     4467.055
       7.668       48.425      528.930     4467.055
       7.870       49.650      584.477     4467.055
       8.071       65.875      586.312     4469.059
       8.272       77.025      588.273     4475.074
       8.473       86.950      589.625     4475.074
       8.675       79.425      591.262     4475.074
       8.876       39.700      592.090     4475.074
       9.078       24.775      592.090     4475.074
       9.285       24.250      592.383     4475.074
       9.499        5.800      592.383     4475.074
       9.710        0.000      592.383     4475.074
       9.913       65.200      596.324     4485.633
      10.114       91.975      598.270     4485.762
      10.316       90.725      600.344     4485.762
      10.517       90.625      605.520     4496.832
      10.719       89.200      607.406     4496.832
      10.921       91.450      608.551     4496.832
      11.122       89.375      609.527     4496.984
      11.324       91.825      610.895     4496.984
      11.525       91.775      611.914     4496.984
      11.727       88.000      613.891     4496.984
      11.928       86.875      614.535     4496.984
      12.130       81.850      615.051     4496.984
      12.331       83.150      615.934     4496.984
      12.533       79.450      616.219     4496.984
      12.735       77.925      617.262     4496.984
      12.937       79.375      617.848     4496.984
      13.138       84.300      618.414     4496.984
      13.340       76.925      619.027     4496.984
      13.541       80.675      619.621     4496.984
      13.742       74.550      620.727     4496.984
      13.946       54.075      621.586     4496.984
      14.150        1.225      621.586     4496.984
      14.369        1.150      621.586     4496.984
      14.574        1.225      621.586     4496.984
      14.776        0.000      621.586     4496.984
