# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.010        0.000       21.102     2774.348
       0.211       21.150       27.918     2826.527
       0.412       19.925       31.688     2826.527
       0.613       23.675       39.684     2826.527
       0.813        8.725       40.199     2826.527
       1.014       34.900       62.305     2829.723
       1.214       44.875       95.352     2832.266
       1.415       64.825      111.727     2832.934
       1.615       64.850      134.016     2832.934
       1.816       61.100      151.941     2834.934
       2.016       57.300      171.500     2834.934
       2.217       36.125      174.332     2901.938
       2.418       48.625      179.641     2903.938
       2.618       61.100      190.828     2905.949
       2.819       66.025      192.211     2905.949
       3.020       42.350      194.270     3297.973
       3.220       68.475      215.375     3557.988
       3.421       56.025      220.258     3557.988
       3.622       75.975      235.512     3559.988
       3.823       75.950      250.125     3559.988
       4.023       88.450      268.594     3561.988
       4.224       89.700      274.910     3887.059
       4.425       87.200      276.918     3954.062
       4.638       79.525      279.285     3962.113
       4.839       68.425      281.352     3962.770
       5.040       74.750      281.230     3987.473
       5.241       72.225      283.590     3991.762
       5.442       68.500      284.801     3991.762
       5.642       66.000      286.016     3996.043
       5.843       73.450      296.105     3996.043
       6.044       62.300      296.703     3997.047
       6.244       74.800      299.242     3999.055
       6.445       82.200      307.199     4001.055
       6.646       80.950      314.598     4001.055
       6.847       51.075      316.777     4005.902
       7.047       76.025      319.961     4007.902
       7.248       59.775      322.109     4008.906
       7.449       53.575      323.957     4010.980
       7.649       56.075      325.219     4010.980
       7.850       71.000      326.195     4012.980
       8.051       78.500      329.332     4012.980
       8.251       42.350      332.164     4014.980
       8.452       76.025      346.926     4014.980
       8.652       93.450      350.695     4014.980
       8.853       63.475      352.371     4014.980
       9.054       83.425      352.977     4017.984
       9.255       89.375      353.707     4018.121
       9.456       78.375      353.750     4018.121
       9.657       82.175      354.508     4020.129
       9.858       79.700      355.008     4024.145
      10.059       84.725      355.328     4024.145
      10.259       84.750      357.527     4026.168
      10.460       62.325      358.539     4026.168
      10.661       39.875      358.539     4026.168
      10.861       24.925      358.539     4026.168
      11.062       26.175      358.539     4026.168
      11.262       24.925      358.539     4026.168
      11.463       34.900      358.539     4026.168
      11.663       24.925      358.539     4026.168
      11.864       24.925      358.539     4026.168
      12.065       23.650      358.625     4026.168
      12.266        0.000      358.625     4026.168
      12.468       17.375      358.625     4026.168
      12.668       26.150      358.625     4026.168
      12.869        1.250      358.746     4026.168
      13.070        1.250      358.746     4026.168
      13.271        0.000      358.746     4026.168
