# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
<<<<<<< HEAD
       0.004        0.000       29.328     3079.863
       0.206       39.700       34.184     3079.863
       0.407       59.600       41.305     3144.867
       0.609       68.200       51.176     3144.867
       0.811       76.775       62.656     3274.883
       1.012       81.675       69.500     3276.883
       1.214       86.800       74.414     3276.883
       1.416       84.375       78.703     3278.883
       1.617       90.575       84.508     3278.883
       1.819       86.850       88.059     3280.883
       2.020       85.625       92.973     3280.883
       2.222       80.650       96.430     3280.883
       2.423       81.950       98.680     3282.883
       2.625       78.125       99.879     3347.887
       2.829       78.875      102.723     3347.887
       3.034       56.575      107.590     3349.887
       3.239       34.175      114.848     3351.887
       3.441       53.250      118.039     3351.887
       3.643       65.350      122.277     3351.887
       3.846       56.725      123.785     3743.910
       4.048       59.550      125.469     4003.926
       4.249       58.275      127.906     4003.926
       4.451       75.675      128.676     4005.926
       4.652       75.675      131.676     4005.926
       4.854       79.425      135.664     4078.953
       5.055       89.375      139.820     4084.996
       5.257       89.175      152.367     4091.348
       5.458       84.475      157.738     4096.367
       5.660       85.600      171.352     4098.367
       5.861       96.725      181.016     4100.367
       6.063       86.875      188.141     4123.078
       6.264       88.100      193.934     4127.086
       6.466       85.550      205.281     4127.086
       6.667       83.100      208.566     4129.086
       6.872       82.575      208.270     4129.086
       7.077       78.650      211.062     4131.086
       7.278       85.550      215.070     4132.090
       7.480       83.075      217.402     4133.094
       7.682       65.750      216.031     4135.094
       7.883       93.150      219.289     4135.094
       8.084       68.300      220.773     4135.094
       8.286       71.900      225.613     4141.941
       8.487       81.925      226.469     4142.945
       8.689       74.425      229.719     4144.945
       8.890       81.900      234.969     4144.945
       9.092       83.175      243.691     4146.945
       9.293       88.050      244.379     4146.945
       9.495       75.675      248.852     4148.945
       9.697       73.000      257.199     4155.656
       9.898       79.400      310.750     4155.664
      10.100       80.625      331.961     4150.945
      10.301       78.175      335.750     4151.949
      10.503       84.350      336.730     4151.949
      10.704       86.850      337.480     4151.949
      10.906       90.600      338.441     4154.953
      11.107       89.375      341.496     4154.953
      11.309       69.475      345.281     4160.977
      11.510       47.150      346.652     4160.977
      11.713        3.700      341.125     4160.977
      11.915        0.000      341.125     4160.977
      12.116        2.475      341.125     4160.977
      12.318        0.000      341.125     4160.977
      12.519        0.000      341.125     4160.977
      12.723       82.075      345.059     4166.520
      12.925       92.825      345.633     4166.520
      13.127       94.250      347.258     4166.520
      13.330       96.000      347.746     4166.520
      13.535       96.375      349.371     4166.520
      13.737       93.950      349.969     4166.520
      13.940       97.250      351.625     4168.520
      14.143       93.750      353.656     4168.520
      14.345       92.925      355.930     4168.520
      14.553       92.200      356.926     4168.520
      14.775       91.175      357.477     4168.520
      14.978       93.700      357.875     4168.520
      15.181       92.625      358.820     4168.520
      15.382       91.775      359.137     4168.520
      15.584       92.950      360.031     4168.520
      15.787       94.975      361.164     4168.520
      15.990       92.275      365.887     4168.520
      16.193       92.450      367.055     4168.520
      16.395       92.925      369.660     4169.523
      16.597       92.850      371.227     4169.523
      16.798       94.275      371.617     4169.523
      17.001       90.025      372.227     4169.523
      17.203       92.225      372.887     4169.523
      17.407       88.650      373.875     4169.523
      17.609       82.950      373.965     4169.523
      17.812       85.200      374.352     4169.523
      18.015       87.375      375.539     4169.523
      18.217       85.400      375.703     4169.523
      18.420       83.700      376.477     4169.523
      18.622       84.200      377.172     4169.523
      18.824       84.000      377.527     4169.523
      19.026       88.075      378.246     4169.523
      19.227       85.500      378.820     4169.523
      19.430       81.150      378.875     4169.523
      19.633       74.050      379.391     4169.523
      19.836       30.825      379.391     4169.523
      20.038       24.775      379.422     4169.523
      20.240       24.775      379.422     4169.523
      20.441       26.025      379.422     4169.523
=======
       0.004        0.000       30.801     3087.957
       0.205       18.050       39.336     3152.961
       0.406       28.600       59.465     3282.977
       0.608       36.562       75.566     3284.977
       0.809       44.788       89.199     3351.980
       1.010       49.075       99.570     3353.980
       1.211       43.400      105.680     3355.980
       1.413       37.837      111.621     3422.984
       1.615       32.237      124.094     3489.992
       1.816       27.900      132.785     3882.016
       2.017       42.263      139.102     4144.031
       2.219       44.075      149.574     4410.055
       2.420       54.700      167.336     4737.078
       2.621       64.700      195.035     5003.137
       2.822       64.050      209.980     5598.645
       3.023       57.712      223.383     5602.672
       3.224       52.837      243.094     5673.016
       3.425       55.962      243.062     5797.656
       3.627       50.263      256.973     5799.656
       3.828       43.388      260.387     5806.504
       4.030       41.600      267.418     5873.508
       4.231       45.987      272.137     5875.508
       4.432       45.275      281.188     5879.508
       4.634       46.550      352.359     5879.508
       4.835       48.375      359.680     5944.512
       5.036       56.587      363.367     6208.543
       5.237       60.288      371.387     6210.543
       5.439       32.938      385.926     6210.543
       5.639       16.175      386.926     6210.543
       5.842        1.238      386.926     6210.543
       6.048        0.000      386.926     6210.543
       6.250        0.000      386.926     6210.543
       6.453        0.000      386.926     6210.543
       6.657       16.738      391.199     6214.559
       6.858       82.050      401.480     6214.559
       7.059       78.975      412.180     6216.559
       7.260       75.825      408.551     6217.562
       7.461       72.150      410.020     6217.562
       7.662       68.400      413.207     6217.562
       7.863       65.900      415.754     6217.562
       8.064       72.175      418.676     6217.562
       8.265       63.962      420.988     6217.562
       8.467       57.138      426.113     6217.562
       8.668       56.450      428.266     6217.562
       8.869       15.550      423.289     6217.562
       9.075        3.038      423.512     6217.562
       9.277        0.000      423.512     6217.562
       9.481        0.000      423.512     6217.562
>>>>>>> a7ab9e1fd879067d9cc7db7a13e5cc00a31179ea
