# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.026        0.000        9.086       46.625
       0.227       19.850       29.211      154.789
       0.437        0.000       29.211      154.789
       0.651        0.000       29.211      154.789
       0.862        0.000       29.211      154.789
       1.067        0.000       29.629      229.137
       1.272        0.000       29.629      229.137
       1.478        0.000       29.629      229.137
       1.692        0.000       29.629      229.137
       1.895        0.000       29.629      229.137
       2.099       17.175       30.145      589.156
       2.301       33.550       30.438      589.156
       2.502       32.300       30.582      645.402
       2.703       32.350       30.645      653.406
       2.904       32.250       30.695      653.406
       3.106       32.300       30.691      653.406
       3.307       32.325       30.699      653.406
       3.508       33.575       30.699      653.406
       3.709       31.075       30.738      653.406
       3.910       29.775       30.742      653.406
       4.111       31.050       30.746      653.406
       4.313       32.300       30.750      653.406
       4.514       29.800       30.730      653.406
       4.716       32.225       30.949      645.402
       4.917       32.250       30.941      653.406
       5.119       30.950       30.945      653.406
       5.321       33.475       30.949      653.406
       5.522       31.025       30.941      653.406
       5.724       33.525       30.945      661.410
       5.925       29.775       30.883      645.402
       6.127       33.525       30.883      653.406
       6.328       32.300       30.891      653.406
       6.529       32.350       30.883      653.406
       6.730       33.550       30.898      653.406
       6.931       33.550       30.902      653.406
       7.133       33.525       30.879      653.406
       7.334       33.550       30.844      653.406
       7.535       34.800       30.875      653.406
       7.736       33.550       31.074      653.406
       7.938       32.275       31.078      653.406
       8.139       34.775       31.082      653.406
       8.341       32.175       31.078      653.406
       8.542       31.025       31.129      717.406
       8.744       33.525       31.113      709.402
       8.945       29.750       31.141      717.406
       9.147       33.500       31.156      717.406
       9.348       31.025       31.141      717.406
       9.549       32.300       31.152      717.406
       9.751       33.525       31.133      717.406
       9.952       32.275       31.137      717.406
      10.153       31.050       31.145      717.406
      10.354       32.200       31.129      717.406
      10.557       33.525       31.129      717.406
      10.758       32.275       31.359      725.410
      10.959       33.550       31.336      717.406
      11.160       32.275       31.340      709.402
      11.362       32.275       31.348      717.656
      11.563       33.550       31.352      717.656
      11.766       31.975       31.363      717.656
      11.968       32.300       31.359      717.656
      12.169       32.325       31.340      717.656
      12.370       31.100       31.340      717.656
      12.571       31.050       31.309      717.656
      12.772       33.550       31.324      717.656
      12.973       32.300       31.320      717.656
      13.175       33.525       31.320      717.656
      13.376       11.150       31.273      701.648
      13.596        0.000       31.273      701.648
      13.804        0.000       31.273      701.648
      14.015        0.000       31.273      701.648
      14.232        0.000       31.273      701.648
