# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.004        0.000       15.793       78.234
       0.205       16.150       24.789      108.938
       0.407        1.225       25.887      185.496
       0.610        0.000       25.887      185.496
       0.812        0.000       25.887      185.496
       1.028        0.000       25.887      185.496
       1.234        0.000       25.887      185.496
       1.436       37.250       26.320      473.512
       1.637       37.300       26.367      529.758
       1.838       39.775       26.359      529.758
       2.039       38.525       26.348      537.762
       2.240       39.800       26.375      537.762
       2.441       38.550       26.375      529.758
       2.642       38.575       26.379      537.762
       2.843       39.800       26.344      529.758
       3.044       38.550       26.348      537.762
       3.245       38.550       26.344      537.762
       3.446       38.550       26.340      537.762
       3.647       39.800       26.340      537.762
       3.848       39.800       26.316      537.762
       4.049       37.325       26.285      537.762
       4.250       38.550       26.258      529.758
       4.451       39.800       26.496      529.758
       4.652       37.325       26.504      529.758
       4.853       38.550       26.488      529.758
       5.054       39.800       26.457      529.758
       5.255       39.800       26.449      529.758
       5.456       38.550       26.445      537.762
       5.657       38.550       26.426      537.762
       5.858       39.800       26.426      537.762
       6.060       33.450       26.391      529.758
       6.264        0.000       26.391      529.758
       6.472        0.000       26.391      529.758
       6.677        0.000       26.391      529.758
       6.878        0.000       26.391      529.758
