# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.005        0.000       33.988     1307.047
       0.206       61.950       41.223     1620.863
       0.408       47.050       46.059     1623.297
       0.610       32.200       46.883     1623.660
       0.813       19.750       49.230     1623.926
       1.015       37.200       48.633     1625.066
       1.216       62.000       51.664     1625.066
       1.418       64.350       52.195     1625.066
       1.620       37.100       54.449     1625.066
       1.822       69.300       61.320     1625.066
       2.025       39.550       65.578     1625.066
       2.227       74.300       66.082     1625.066
       2.428       59.500       66.340     1625.066
       2.630       52.000       66.340     1625.066
       2.833       69.000       66.852     1625.066
       3.037       76.200       71.746     1625.316
       3.238       59.450       72.004     1625.316
       3.441       61.650       72.516     1625.316
       3.644       46.850       72.773     1625.316
       3.846       64.450       73.285     1625.570
       4.048       66.750       77.105     1634.551
       4.251       54.250       77.664     1635.809
       4.453       51.850       78.176     1636.316
       4.655       54.350       80.434     1636.316
       4.860       68.400       80.688     1636.316
       5.065       79.250       81.203     1636.570
       5.272       83.650       81.461     1636.570
       5.475       88.650       90.340     1652.824
       5.677       42.100       90.594     1636.824
       5.879        2.450       74.594     1620.824
       6.082        0.000       74.594     1620.824
       6.285        2.450       74.594     1620.824
       6.488        0.000       74.594     1620.824
       6.692       12.250       79.082     1637.078
       6.895        2.450       75.082     1621.078
       7.098        0.000       75.082     1621.078
       7.302        2.450       75.082     1621.078
       7.505        0.000       75.082     1621.078
       7.707       12.300       79.082     1637.332
       7.911        0.000       79.082     1637.332
       8.116        0.000       75.082     1621.332
       8.318        2.450       75.082     1621.332
       8.521        0.000       75.082     1621.332
