# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.008        0.000       20.883     2276.531
       0.208        8.725       24.020     2328.891
       0.409        3.750       25.270     2329.227
       0.609        3.750       27.441     2329.531
       0.810       26.175       41.551     2331.684
       1.010       51.125       57.621     2331.684
       1.211       42.400       67.680     2400.688
       1.411       41.150       78.344     2664.723
       1.612       34.900       88.914     2731.727
       1.813        3.725       89.746     2731.727
       2.014        0.000       89.746     2731.727
       2.215        0.000       89.746     2731.727
       2.416        0.000       89.746     2731.727
       2.617        3.725       89.750     2796.730
       2.819        0.000       89.750     2796.730
       3.020        0.000       89.750     2796.730
       3.222        0.000       89.750     2796.730
       3.423        0.000       89.750     2796.730
       3.624        1.250       89.750     2861.734
       3.825        0.000       89.750     2861.734
       4.025        0.000       89.750     2861.734
       4.227        0.000       89.750     2861.734
       4.428        0.000       89.750     2861.734
       4.629        2.475       89.754     2926.738
