# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.018        0.000       32.684     1305.223
       0.219       19.950       42.098     1748.020
       0.419       12.475       49.836     1750.812
       0.620       17.450       54.238     1752.195
       0.820       42.400       66.246     1881.199
       1.021       41.150       70.031     1881.199
       1.221       36.150       75.449     1881.762
       1.422       27.425       78.223     1890.719
       1.622       37.400       83.758     1890.719
       1.823       44.825       93.031     1906.719
       2.024       37.425       90.059     1890.719
       2.225       48.400       93.676     2019.227
       2.426       37.400       95.168     2019.227
       2.626       32.425       98.809     2023.344
       2.827       33.650      100.848     2217.109
       3.027       34.900      104.898     2345.617
       3.228       42.400      105.918     2345.617
       3.428       22.450      105.918     2345.617
       3.629        1.250       89.918     2329.617
       3.829        0.000       89.918     2329.617
       4.030        0.000       89.918     2329.617
       4.230        0.000       89.918     2329.617
       4.431        1.250       92.680     2410.875
       4.632        0.000       90.680     2394.875
       4.832        0.000       90.680     2394.875
       5.033        0.000       90.680     2394.875
       5.233        0.000       90.680     2394.875
       5.434        2.500       95.719     2475.129
       5.634        0.000       91.719     2459.129
       5.835        0.000       91.719     2459.129
       6.035        0.000       91.719     2459.129
       6.236        0.000       91.719     2459.129
