# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.011        0.000       22.977     2328.730
       0.211        8.725       25.402     2329.379
       0.412       11.225       31.785     2330.801
       0.612       33.675       47.551     2333.105
       0.813       62.350       58.133     2333.105
       1.013       31.150       64.316     2335.105
       1.214       47.350       74.469     2337.125
       1.415       37.400       78.445     2339.125
       1.615       56.100       83.047     2341.125
       1.816       37.400       86.254     2343.125
       2.016       43.575       90.824     2475.133
       2.217       51.075       99.078     2477.133
       2.418       67.300      129.777     2481.434
       2.618       73.550      153.578     2488.113
       2.819       76.000      172.027     2617.258
       3.020       53.575      179.027     2749.266
       3.220       42.375      183.879     2751.266
       3.421       29.900      185.551     2753.340
       3.622        0.000      185.551     2753.340
       3.822        0.000      185.551     2753.340
       4.023        0.000      185.551     2753.340
       4.224        0.000      185.551     2753.340
       4.424        1.250      185.551     2818.344
       4.625        0.000      185.551     2818.344
       4.826        0.000      185.551     2818.344
       5.027        1.250      172.668     2818.344
       5.228        0.000      172.668     2818.344
       5.430        1.250      172.672     2883.348
       5.630        0.000      172.672     2883.348
       5.831        0.000      172.672     2883.348
       6.031        0.000      172.672     2883.348
       6.232        0.000      172.672     2883.348
