# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.007        0.000       35.805     2370.438
       0.208       19.950       66.809     2387.141
       0.408       32.425       91.715     2412.629
       0.609       11.225      100.035     2420.801
       0.809       63.525      169.227     2496.840
       1.010       42.275      202.438     2540.840
       1.211       37.375      227.367     2568.840
       1.412       32.400      247.613     2586.859
       1.612       48.625      298.832     2640.859
       1.813       52.375      314.504     2705.863
       2.014       44.875      329.113     2709.863
       2.214       32.400      335.176     2711.863
       2.415       29.925      342.551     2782.980
       2.615       37.400      354.344     2916.988
       2.816       41.125      364.285     3048.996
       3.016       48.625      377.090     3052.070
       3.217        5.000      377.344     3052.070
       3.417        0.000      377.344     3052.070
       3.618        0.000      377.344     3052.070
       3.819        0.000      377.344     3052.070
       4.020        0.000      377.344     3052.070
       4.221        2.500      377.344     3052.070
       4.421        0.000      377.344     3052.070
       4.622        0.000      377.344     3052.070
       4.823        0.000      377.344     3052.070
       5.024        0.000      377.344     3052.070
       5.226        1.250      377.344     3052.070
       5.427        0.000      377.344     3052.070
       5.628        0.000      377.344     3052.070
       5.829        0.000      377.344     3052.070
       6.030        0.000      377.344     3052.070
       6.231        2.475      377.488     3052.070
       6.432        0.000      377.488     3052.070
       6.634        0.000      377.488     3052.070
       6.835        0.000      377.488     3052.070
       7.035        0.000      377.488     3052.070
