# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.005        0.000       53.684     2703.148
       0.207       27.300       78.461     2732.148
       0.408       24.850       97.750     2752.148
       0.610       21.125      112.121     2763.148
       0.811       33.550      131.746     2788.148
       1.012       50.950      181.746     2902.152
       1.213       46.000      211.398     2939.152
       1.414       39.800      240.520     2977.152
       1.616       26.025      258.102     2997.152
       1.819       24.675      270.375     3010.152
       2.023       37.875      290.453     3030.152
       2.224       34.775      297.562     3032.152
       2.426       21.075      301.109     3032.152
       2.627       21.100      304.047     3032.152
       2.829       42.150      314.180     3034.152
       3.031       28.425      322.059     3036.152
       3.232       45.975      329.719     3235.215
       3.434       53.275      339.969     3237.215
       3.636       28.550      344.117     3239.215
       3.853       20.750      349.336     3241.215
       4.054       34.750      369.574     3243.215
       4.255       32.325      375.535     3438.227
       4.457       39.525      381.117     3573.246
       4.659        0.000      381.117     3573.246
       4.864        0.000      381.117     3573.246
       5.068        0.000      381.117     3573.246
       5.278        0.000      381.117     3573.246
       5.479       24.825      386.320     3575.246
       5.680       49.675      394.754     3577.246
       5.882       59.600      403.805     3649.367
       6.087       40.250      406.543     3649.367
       6.292        0.000      406.543     3649.367
       6.496        0.000      406.543     3649.367
       6.701        0.000      406.543     3649.367
       6.906        0.000      406.543     3649.367
       7.109       29.550      406.660     3909.383
       7.310       88.325      411.105     3914.391
       7.511       92.025      414.184     3914.391
       7.712       90.750      418.750     3914.391
       7.914       93.075      423.035     3916.391
       8.115       91.800      423.918     3916.391
       8.316       92.025      426.062     3916.391
       8.518       88.125      427.273     3916.391
       8.719       90.600      429.832     3916.391
       8.920       88.225      431.496     3917.391
       9.122       90.600      432.793     3917.391
       9.323       81.925      434.277     3917.391
       9.524       91.950      435.086     3917.391
       9.726       89.125      435.832     3917.523
       9.927       89.350      436.887     3917.523
      10.129       81.975      437.855     3917.523
      10.330       88.025      441.645     3919.523
      10.532       88.050      441.645     3919.523
      10.733       86.875      441.727     3919.523
      10.935       85.525      441.727     3919.523
      11.137       76.925      441.559     3919.523
      11.338       88.125      441.559     3919.523
      11.540       85.450      443.934     3922.523
      11.741       85.625      443.934     3922.523
      11.943       88.025      443.934     3922.523
      12.145       68.250      444.191     3922.523
      12.348       50.375      444.191     3922.523
      12.554       47.325      447.543     3925.523
      12.758       31.875      447.543     3925.523
      12.960        9.875      447.543     3925.523
