# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.011        0.000       23.105     2276.699
       0.212        7.475       25.273     2277.312
       0.413       11.225       30.137     2278.230
       0.613       27.425       43.660     2331.180
       0.814       61.100       58.922     2331.180
       1.014       33.675       65.785     2333.180
       1.215       46.125       75.461     2335.199
       1.415       34.900       79.750     2341.266
       1.616       57.350       87.961     2343.266
       1.816       41.150       92.898     2475.273
       2.017       49.875      102.676     2477.273
       2.217       67.300      128.926     2479.273
       2.418       73.525      157.309     2488.320
       2.618       77.325      171.824     2617.551
       2.819       53.600      176.996     2751.559
       3.019       48.600      181.109     2751.559
       3.220       63.550      182.680     2753.633
       3.421       49.850      188.340     2753.633
       3.621       39.850      188.793     2753.633
       3.822        0.000      188.793     2753.633
       4.023        1.250      188.793     2753.633
       4.224        1.250      188.797     2818.637
       4.425        0.000      188.797     2818.637
       4.626        0.000      188.797     2818.637
       4.827        0.000      188.797     2818.637
       5.028        1.250      161.035     2818.637
       5.230        3.725      161.035     2883.641
       5.431        0.000      161.035     2883.641
       5.631        0.000      161.035     2883.641
       5.833        0.000      161.035     2883.641
       6.033        0.000      161.035     2883.641
