# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
<<<<<<< HEAD
       0.004        0.000       28.531     2581.988
       0.205       24.850       40.188     2581.988
       0.406       27.375       52.117     2581.988
       0.607       49.725       66.062     2714.000
       0.810       75.000       88.008     2717.305
       1.011       60.975       97.062     2720.000
       1.214       56.575      103.129     2724.000
       1.416       49.725      108.320     2726.000
       1.617       65.875      114.207     2728.000
       1.818       48.525      119.316     2728.000
       2.019       75.800      131.773     2866.410
       2.220       58.450      138.129     2866.051
       2.421       28.600      142.328     2868.051
       2.622       34.825      148.000     2876.176
       2.823       59.725      153.656     2943.180
       3.024       49.750      162.000     3339.211
       3.225       74.600      174.789     3341.211
       3.426       37.275      173.062     3341.211
       3.627        4.950      173.316     3341.211
       3.831        0.000      173.316     3341.211
       4.034        0.000      173.316     3341.211
       4.237        3.700      173.324     3341.211
       4.438       70.800      175.191     3536.223
       4.639       84.400      175.961     3602.230
       4.854       87.200      177.094     3604.395
       5.059       89.075      178.922     3605.098
       5.261       93.125      181.762     3607.094
       5.462       89.450      185.977     3609.445
       5.663       92.050      187.242     3609.840
       5.864       93.050      188.555     3610.168
       6.065       90.750      188.910     3610.168
       6.266       84.550      189.391     3610.168
       6.468       90.375      190.574     3610.590
       6.669       89.525      193.531     3612.828
       6.871       86.975      194.031     3612.828
       7.072       86.950      196.566     3615.164
       7.273       86.875      200.117     3618.336
       7.474       85.825      202.824     3620.969
       7.675       87.050      202.879     3620.969
       7.877       73.325      204.164     3620.969
       8.078       31.050      205.820     3620.969
       8.279        0.000      205.820     3620.969
       8.480        0.000      205.820     3620.969
       8.682        0.000      205.820     3620.969
=======
       0.003        0.000       29.223     2590.023
       0.204       10.562       39.277     2590.023
       0.405        9.950       47.520     2590.023
       0.608       17.200       58.527     2657.027
       0.810       32.837       85.863     2724.035
       1.011       24.825       93.449     2726.035
       1.212       33.625      102.012     2730.035
       1.413       29.212      105.812     2797.043
       1.614       18.062      110.207     2799.043
       1.815       30.475      120.340     2801.043
       2.016       36.075      138.504     3072.047
       2.217       14.300      144.305     3071.109
       2.418       18.025      150.172     3079.234
       2.619       22.337      154.004     3276.246
       2.821       10.537      156.227     3343.250
       3.026        0.000      156.227     3343.250
       3.228       11.162      160.414     3605.281
       3.430       34.237      172.668     3672.285
       3.632        8.037      168.898     3674.285
       3.838        0.000      168.898     3674.285
       4.043        0.613      168.898     3674.285
       4.246        0.000      168.898     3674.285
       4.449        0.000      168.898     3674.285
       4.650       44.025      170.301     3934.301
       4.851       75.225      174.594     3999.305
       5.053       67.713      177.355     4001.305
       5.254       73.300      184.242     4001.305
       5.455       65.275      185.297     4001.305
       5.656       64.025      187.719     4001.305
       5.857       67.875      191.883     4001.305
       6.058       67.200      195.422     4001.305
       6.259       75.875      204.879     4001.305
       6.460       66.513      235.113     4001.305
       6.661       65.312      237.609     4001.305
       6.862       45.987      238.113     4001.305
       7.063       27.337      238.156     4001.305
       7.264       24.850      238.156     4001.305
       7.466       24.837      241.762     4001.305
       7.668       16.012      238.945     4001.305
>>>>>>> a7ab9e1fd879067d9cc7db7a13e5cc00a31179ea
