# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       19.820     1887.488
       0.204       16.150       27.012     2330.574
       0.405       29.875       39.418     2331.047
       0.605       18.625       46.039     2332.188
       0.807       37.250       57.016     2334.227
       1.009       36.000       65.879     2334.227
       1.175       36.100       69.605     2336.227
       1.377       35.800       75.172     2338.227
       1.579       27.325       81.688     2340.246
       1.780       27.350       84.211     2340.246
       1.981       35.975       88.918     2342.246
       2.183       29.700       91.371     2344.246
       2.387       36.825       94.367     2409.250
       2.588       31.100       97.258     2411.250
       2.789       42.225      103.488     2413.250
       2.990       50.975      128.176     2418.078
       3.192       55.725      143.402     2480.254
       3.395       48.075      141.105     2486.367
       3.598       25.850      146.168     2618.375
       3.799       23.575      149.285     2750.383
       4.001       28.525      152.871     2752.383
       4.203       33.400      155.152     2754.457
       4.406        0.000      155.152     2754.457
       4.608        0.000      155.152     2754.457
       4.811        0.000      155.152     2754.457
       5.014        0.000      155.152     2754.457
       5.218        2.450      149.125     2754.457
       5.423        0.000      149.125     2754.457
       5.626        0.000      149.125     2754.457
       5.828        0.000      149.125     2754.457
       6.031        0.000      149.125     2754.457
       6.234        1.225      149.125     2754.457
       6.437        0.000      149.125     2754.457
       6.640        1.225      149.125     2754.457
       6.842        0.000      149.125     2754.457
       7.044        0.000      149.125     2754.457
       7.247        1.225      149.125     2754.457
       7.453        0.000      149.125     2754.457
       7.656        0.000      149.125     2754.457
       7.860        0.000      149.125     2754.457
       8.063        0.000      149.125     2754.457
