# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.006        0.000       27.645     2167.637
       0.209       64.000       55.805     2174.387
       0.411       47.000       65.711     2185.742
       0.613       34.650       74.695     2195.094
       0.815       37.100       81.477     2201.160
       1.017       59.500       94.555     2217.199
       1.219       56.900      110.055     2232.199
       1.423       68.800      119.273     2240.199
       1.625       66.650      134.457     2256.199
       1.827       69.450      149.328     2278.199
       2.030       76.150      172.855     2302.199
       2.232       52.050      181.039     2315.199
       2.434       69.500      193.578     2333.199
       2.635       54.550      202.133     2344.199
       2.837       54.550      218.441     2361.199
       3.039       24.750      220.988     2429.203
       3.241       44.450      228.172     2439.223
       3.444       66.500      242.496     2649.234
       3.646       42.150      250.371     2657.234
       3.848       69.100      265.840     2677.238
       4.059       66.450      280.301     2685.238
       4.262       71.500      285.852     2688.242
       4.464       14.850      286.289     2688.242
       4.666        0.000      286.289     2688.242
       4.870        0.000      286.289     2688.242
       5.074        0.000      286.289     2688.242
       5.277        0.000      286.289     2688.242
       5.480        7.400      286.289     2689.246
       5.685        0.000      286.289     2689.246
       5.889        0.000      286.289     2689.246
       6.092        0.000      286.289     2689.246
       6.299        0.000      286.289     2689.246
       6.503        2.450      286.695     2690.250
       6.707        0.000      286.695     2690.250
       6.912        0.000      286.695     2690.250
       7.114        2.450      286.695     2690.250
       7.316        0.000      286.695     2690.250
