# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.010        0.000       22.797     2276.707
       0.210        8.725       25.406     2277.305
       0.411       21.200       36.281     2329.758
       0.611       53.625       55.102     2331.824
       0.812       49.875       65.406     2400.828
       1.012       42.400       77.961     2597.859
       1.213       52.350       90.395     2732.020
       1.413        4.975       90.969     2732.020
       1.615        1.250       90.969     2732.020
       1.816        0.000       90.969     2732.020
       2.017        0.000       90.969     2732.020
       2.219        0.000       90.969     2732.020
       2.420        3.725       90.969     2797.023
       2.621        0.000       90.969     2797.023
       2.822        0.000       90.969     2797.023
       3.023        0.000       90.969     2797.023
       3.223        0.000       90.969     2797.023
       3.424        0.000       90.973     2862.027
       3.624        0.000       90.973     2862.027
       3.825        0.000       90.973     2862.027
       4.025        0.000       90.973     2862.027
       4.226        0.000       90.973     2862.027
