# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.011        0.000       31.738     1305.223
       0.212       24.875       44.469     1814.129
       0.413        9.975       47.273     1814.672
       0.613       39.900       55.523     1814.672
       0.814       39.875       65.215     1879.676
       1.014       52.375       69.391     1944.180
       1.215       34.900       72.398     2145.898
       1.415       46.125       82.695     2274.406
       1.616        7.450       84.949     2274.406
       1.818        1.250       71.414     2258.406
       2.019        0.000       71.414     2258.406
       2.221        0.000       71.414     2258.406
       2.421        0.000       71.414     2258.406
       2.623        1.250       72.172     2339.664
       2.824        0.000       71.918     2323.664
       3.026        1.250       71.918     2323.664
       3.227        0.000       71.918     2323.664
       3.428        0.000       71.918     2323.664
       3.628        1.250       72.172     2387.918
       3.830        0.000       72.172     2387.918
       4.031        0.000       72.172     2387.918
       4.233        1.250       72.172     2387.918
       4.434        0.000       72.172     2387.918
