# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.011        0.000       22.645     2328.723
       0.212        8.725       25.828     2329.352
       0.413       27.425       39.770     2331.684
       0.613       56.125       53.602     2331.684
       0.814       48.600       60.684     2333.684
       1.014       39.875       68.730     2400.707
       1.215       51.100       80.770     2599.719
       1.415       34.875       87.801     2731.727
       1.616       22.425       89.949     2731.727
       1.817        0.000       89.949     2731.727
       2.018        0.000       89.949     2731.727
       2.218        0.000       89.949     2731.727
       2.420        0.000       89.949     2731.727
       2.621        1.250       89.949     2796.730
       2.823        0.000       89.949     2796.730
       3.024        0.000       89.949     2796.730
       3.225        0.000       89.949     2796.730
       3.425        1.250       89.949     2796.730
       3.627        1.250       89.953     2861.734
       3.828        0.000       89.953     2861.734
       4.028        0.000       89.953     2861.734
       4.229        0.000       89.953     2861.734
       4.430        1.250       89.953     2861.734
