# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.018        0.000       37.238     2370.438
       0.218       23.675       70.648     2394.082
       0.419       36.150      104.121     2426.293
       0.620       57.300      166.566     2501.293
       0.820       42.300      200.637     2607.297
       1.021       39.875      238.582     2846.328
       1.222       44.750      274.160     3013.336
       1.423        2.500      279.035     3018.336
       1.624        0.000      279.035     3018.336
       1.825        0.000      279.035     3018.336
       2.026        0.000      279.035     3018.336
       2.227        0.000      279.035     3018.336
       2.427        1.250      279.039     3083.340
       2.628        0.000      279.039     3083.340
       2.829        0.000      279.039     3083.340
       3.030        1.250      279.039     3083.340
       3.230        0.000      279.039     3083.340
       3.431        2.475      281.492     3148.344
       3.633        0.000      281.492     3148.344
       3.835        0.000      281.492     3148.344
       4.035        0.000      281.492     3148.344
       4.236        0.000      281.492     3148.344
