# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       37.867     2711.605
       0.204       19.262       84.004     2807.855
       0.405       25.475      138.293     2875.895
       0.606       28.637      209.133     2963.895
       0.807       21.725      243.352     3131.922
       1.008       19.288      281.660     3303.930
       1.214       15.787      291.660     3371.934
       1.416        0.000      291.660     3371.934
       1.622        0.000      291.660     3371.934
       1.824        0.000      291.660     3371.934
       2.027        0.000      291.660     3371.934
       2.228       23.562      295.566     3631.949
       2.429       60.938      314.414     3631.949
       2.631       63.413      336.246     3632.949
       2.832       57.800      353.258     3632.949
       3.032       67.862      358.402     3634.949
       3.233       67.150      367.168     3636.949
       3.434       55.375      375.082     3639.949
       3.635       58.450      375.461     3639.949
       3.838       41.438      375.461     3639.949
       4.039       16.750      375.461     3639.949
       4.242        0.000      375.461     3639.949
       4.445        0.000      375.461     3639.949
       4.650        0.000      375.461     3639.949
