# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.008        0.000       22.582     2276.703
       0.209        9.975       25.840     2277.367
       0.409       37.375       43.609     2329.656
       0.610       49.850       59.141     2331.723
       0.810       39.900       66.457     2400.746
       1.011       46.150       77.117     2664.914
       1.212       19.875       82.594     2731.918
       1.413        0.000       82.594     2731.918
       1.614        0.000       82.594     2731.918
       1.815        1.250       82.594     2731.918
       2.015        0.000       82.594     2731.918
       2.216        0.000       82.719     2796.922
       2.417        1.250       82.719     2796.922
       2.618        0.000       82.719     2796.922
       2.820        0.000       82.719     2796.922
       3.021        0.000       82.719     2796.922
       3.222        1.250       82.723     2861.926
       3.423        0.000       82.723     2861.926
       3.624        0.000       82.723     2861.926
       3.825        0.000       82.723     2861.926
       4.026        0.000       82.723     2861.926
