# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
<<<<<<< HEAD
       0.004        0.000       28.180     2581.988
       0.205       21.125       38.785     2581.988
       0.406       42.300       49.055     2648.996
       0.607       63.450       68.969     2716.000
       0.808       67.225       81.449     2984.066
       1.009       54.725       91.457     3250.090
       1.210       36.050       95.312     3252.090
       1.412        0.000       95.312     3252.090
       1.614        0.000       95.312     3252.090
       1.816        0.000       95.312     3252.090
       2.020        0.000       95.312     3252.090
       2.223       17.225       95.508     3447.102
       2.425       85.725       98.008     3447.102
       2.626       92.025       99.750     3447.102
       2.828       86.650      101.523     3512.105
       3.029       90.750      102.195     3512.105
       3.230       85.775      102.902     3512.105
       3.431       88.050      103.957     3514.105
       3.633       88.075      106.754     3514.105
       3.834       89.525      105.582     3514.105
       4.035       87.000      114.398     3514.105
       4.236       87.025      135.348     3514.105
       4.437       49.725      139.988     3514.105
       4.639        0.000      139.988     3514.105
       4.840        0.000      139.988     3514.105
       5.042        1.250      126.664     3514.105
       5.246        0.000      126.664     3514.105
=======
       0.003        0.000       29.277     2590.023
       0.204        8.088       36.820     2590.023
       0.405       17.400       48.527     2657.031
       0.606       28.613       67.328     2724.035
       0.807       29.238       81.344     2856.043
       1.008       24.250       89.203     3516.156
       1.209       26.750       97.434     3650.168
       1.411        0.000       97.434     3650.168
       1.616        0.000       97.434     3650.168
       1.819        0.000       97.434     3650.168
       2.021        0.000       97.434     3650.168
       2.223        1.863       97.707     3650.168
       2.424       44.100       99.703     3845.180
       2.625       65.200      105.055     3910.184
       2.827       70.075      107.125     3910.184
       3.028       63.375      107.773     3910.184
       3.230       66.412      110.102     3910.184
       3.431       65.250      117.109     3910.184
       3.632       67.737      129.445     3910.184
       3.833       30.462      130.734     3910.184
       4.034       12.425      135.117     3911.824
       4.236        7.438      130.977     3910.184
       4.439        0.000      130.977     3910.184
       4.643        0.613      130.977     3910.184
>>>>>>> a7ab9e1fd879067d9cc7db7a13e5cc00a31179ea
