# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.002        0.000       24.168     2329.945
       0.203       22.400       36.578     2330.598
       0.404       39.800       48.172     2332.730
       0.605       53.525       55.496     2334.730
       0.805       41.075       66.594     2598.762
       1.006       26.100       71.441     2665.766
       1.208       11.175       73.871     2732.770
       1.412        0.000       73.871     2732.770
       1.614        0.000       73.871     2732.770
       1.817        0.000       73.871     2732.770
       2.019        0.000       73.871     2732.770
       2.221       48.400       77.375     2927.781
       2.422       80.900       81.086     2992.785
       2.623       68.500       83.410     2992.785
       2.824       73.375       84.336     2992.785
       3.025       63.375       85.172     2992.785
       3.226       65.925       95.266     2992.785
       3.427       80.925      110.633     2992.785
       3.628       82.125      120.906     2992.785
       3.829       75.825      121.582     2992.785
       4.031       49.275      121.945     2992.785
       4.234        0.000      121.945     2992.785
       4.440        0.000      121.945     2992.785
       4.642        0.000      121.945     2992.785
       4.844        1.225      121.945     2992.785
