# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.025        0.000       19.262     1753.289
       0.227       44.600       23.062     2078.445
       0.437       35.800       26.844     2130.793
       0.641       17.100       28.137     2131.223
       0.844       17.200       29.559     2131.516
       1.047       42.100       34.348     2131.547
       1.249       51.750       36.387     2133.586
       1.453       56.600       38.539     2133.586
       1.655       64.150       41.066     2133.586
       1.858       51.750       43.867     2133.586
       2.061       61.650       49.086     2133.586
       2.263       47.050       50.613     2133.586
       2.465       71.950       51.996     2133.586
       2.667       46.950       52.723     2133.586
       2.870       44.350       53.355     2133.586
       3.073       51.750       56.379     2133.586
       3.274       47.150       57.301     2133.586
       3.477       69.250       58.133     2135.586
       3.678       54.500       59.059     2135.586
       3.882       56.400       61.047     2135.586
       4.085       39.500       61.684     2135.586
       4.288       36.950       62.742     2137.586
       4.491       44.350       63.625     2202.590
       4.693       51.800       68.297     2202.609
       4.895       46.900       71.184     2204.609
       5.098       46.950       72.164     2269.613
       5.300       74.200       77.141     2399.621
       5.502       62.000       78.715     2401.621
       5.705       46.900       81.703     2401.621
       5.906       61.950       82.945     2402.625
       6.109       51.700       84.055     2404.625
       6.313       61.400       87.289     2405.629
       6.515       76.800       88.957     2405.629
       6.719       39.100       89.805     2405.629
       6.926        0.000       89.805     2405.629
       7.129        0.000       89.805     2405.629
       7.332        0.000       89.805     2405.629
       7.536        0.000       89.805     2405.629
       7.738       14.800       90.570     2406.633
       7.942        2.450       90.570     2406.633
       8.147        0.000       90.570     2406.633
       8.353        0.000       90.570     2406.633
       8.561        0.000       90.570     2406.633
       8.764        4.900       90.727     2407.637
       8.967        0.000       90.727     2407.637
       9.171        0.000       90.727     2407.637
       9.373        0.000       90.727     2407.637
       9.578        0.000       90.727     2407.637
