# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.002        0.000       47.449      594.707
       0.203        0.000       47.449      594.707
       0.405        0.000       47.449      594.707
       0.607        0.000       47.449      594.707
       0.809        0.000       47.449      594.707
       1.012        1.225       48.410      882.723
       1.213       37.300       52.977      882.723
       1.414       42.275       52.953      882.723
       1.615       43.550       53.891      884.723
       1.816       43.475       53.578      884.723
       2.018       38.500       52.469      884.723
       2.221       43.075       53.984      884.723
       2.422       42.275       52.465      882.723
       2.623       43.475       54.078      884.723
       2.824       42.275       53.062      882.723
       3.025       43.475       53.785      884.723
       3.226       41.025       52.562      884.723
       3.428       14.850       53.367      883.723
       3.632        0.000       53.367      883.723
       3.834        0.000       53.367      883.723
       4.038        0.000       53.570      884.723
       4.240        0.000       53.570      884.723
