# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.002        0.000       18.395    32935.469
       0.204        6.200       52.801    33373.680
       0.409        0.000       52.801    33373.680
       0.611        0.000       52.801    33373.680
       0.812        0.000       52.801    33373.680
       1.016        0.000       52.801    33373.680
       1.218        3.725       55.453    33663.695
       1.419       36.025       60.273    33744.699
       1.620       39.825       58.199    33750.699
       1.821       37.325       59.820    33754.699
       2.022       39.775       59.219    33760.699
       2.223       39.700       60.469    33765.699
       2.425       37.225       59.723    33770.699
       2.626       38.550       60.938    33777.699
       2.827       38.550       61.227    33783.699
       3.028       38.550       60.484    33790.699
       3.229       13.650       61.402    33792.699
       3.431        0.000       61.402    33792.699
       3.633        0.000       61.402    33792.699
       3.835        0.000       61.402    33792.699
       4.037        0.000       61.402    33792.699
