# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.002        0.000       25.375      492.023
       0.206        0.000       25.375      492.023
       0.408        0.000       25.375      492.023
       0.610        0.000       25.375      492.023
       0.815        0.000       25.375      492.023
       1.016        0.000       25.375      492.023
       1.218       38.500       32.207      773.035
       1.419       39.800       31.891      774.035
       1.620       43.475       32.328      772.035
       1.821       41.000       30.301      772.035
       2.022       41.075       31.219      772.035
       2.223       42.300       32.199      774.035
       2.429        8.475       33.262      774.035
       2.637        0.000       33.262      774.035
       2.841        0.000       33.262      774.035
       3.043        0.000       33.262      774.035
       3.246        0.000       33.262      774.035
