# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.017        0.000       18.438      482.395
       0.221        0.000       19.441      482.395
       0.427        0.000       19.441      482.395
       0.632        0.000       19.441      482.395
       0.836        0.000       19.441      482.395
       1.038        0.000       19.441      482.395
       1.242        4.900       21.875      556.398
       1.446        0.000       21.875      556.398
       1.653        0.000       21.875      556.398
       1.861        0.000       21.875      556.398
       2.068        0.000       21.875      556.398
       2.272        0.000       22.129      628.402
       2.475        0.000       22.129      628.402
       2.680        0.000       22.129      628.402
       2.887        0.000       22.129      628.402
       3.092        0.000       22.129      628.402
