# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.005        0.000       32.551     2598.059
       0.206       43.450      105.500     2758.148
       0.408       50.725      166.137     2893.152
       0.609       79.675      233.492     2973.152
       0.815       62.950      284.152     3026.152
       1.017       66.950      294.215     3221.172
       1.218       52.150      299.078     3223.172
       1.420       78.050      322.418     3227.215
       1.621       57.225      333.262     3229.215
       1.823       65.825      353.293     3233.215
       2.030       60.325      360.250     3235.215
       2.231       64.500      365.844     3237.215
       2.433       68.275      371.699     3237.215
       2.635       74.275      376.602     3237.215
       2.836       64.475      379.375     3239.215
       3.038       68.250      382.648     3239.215
       3.239       48.400      384.727     3239.215
       3.441       63.275      387.844     3241.215
       3.642       68.200      391.113     3241.215
       3.843       70.900      397.176     3242.215
       4.045       53.375      399.902     3244.215
       4.247       55.450      403.629     3244.215
       4.449       73.300      407.254     3246.215
       4.650       62.100      411.801     3248.215
       4.851       43.475      415.285     3248.215
       5.052       73.375      417.113     3380.223
       5.254       52.150      419.773     3386.352
       5.455       52.175      422.590     3518.359
       5.656       42.225      424.062     3583.363
       5.859       22.225      426.453     3585.363
       6.060       31.050      427.672     3585.363
       6.261       46.000      430.996     3588.363
       6.462       29.825      432.930     3588.363
       6.663       38.500      434.516     3590.363
       6.865       34.775      436.418     3590.363
       7.066       37.250      438.844     3592.363
       7.279       37.525      441.738     3594.363
       7.481       54.600      443.238     3594.363
       7.682       42.250      446.016     3596.363
       7.884       68.300      447.285     3597.363
       8.085       70.675      449.289     3597.363
       8.286       53.475      450.016     3597.363
       8.487       70.900      452.988     3599.363
       8.689       60.825      453.453     3599.363
       8.890       63.325      454.121     3599.363
       9.091       64.575      454.598     3599.363
       9.293       55.900      455.266     3599.363
       9.494       58.375      456.051     3599.363
       9.695       63.350      456.645     3599.363
       9.896       59.625      456.887     3601.363
      10.098       64.600      457.348     3601.363
      10.299       60.875      458.195     3601.363
      10.500       65.825      458.645     3601.363
      10.706       40.100      459.336     3934.414
      10.908       28.475      461.195     3934.414
      11.109       47.150      462.262     3936.414
      11.310       31.075      464.320     3936.414
      11.511       49.750      466.227     3938.414
      11.722        4.750      466.281     3938.414
      11.925        0.000      466.281     3938.414
      12.132        0.000      466.281     3938.414
      12.343        0.000      466.281     3938.414
      12.547        2.450      466.289     3938.414
      12.749       75.525      467.152     3938.543
      12.950       85.800      468.324     3938.543
      13.152       90.525      469.727     3940.543
      13.353       77.025      470.285     3940.543
      13.555       91.350      472.781     3940.543
      13.758       92.775      473.273     3940.543
      13.964       83.475      474.191     3940.543
      14.166       80.500      474.984     3942.543
      14.367       93.100      475.531     3942.543
      14.569       89.400      475.672     3942.543
      14.770       79.450      476.219     3942.543
      14.972       91.850      476.777     3942.543
      15.175       77.600      479.285     3942.543
      15.376       88.150      480.078     3942.543
      15.577       89.475      480.582     3942.543
      15.779       76.900      481.098     3942.543
      15.980       90.625      484.340     3942.543
      16.183       77.575      486.668     3942.543
      16.384       88.175      487.316     3942.543
      16.586       88.125      488.008     3942.543
      16.787       74.525      488.547     3942.543
      16.989       89.275      489.074     3942.543
      17.190       78.200      489.531     3942.543
      17.392       83.075      490.324     3942.543
      17.593       73.250      490.707     3942.680
      17.795       83.125      492.039     3944.680
      17.996       73.200      492.578     3944.680
      18.198       80.700      492.605     3944.680
      18.399       70.700      493.672     3945.543
      18.600       80.750      494.238     3945.543
      18.803       51.750      494.238     3945.543
      19.008        0.000      494.238     3945.543
      19.224        0.000      494.238     3945.543
      19.436        0.000      494.238     3945.543
      19.640        0.000      494.238     3945.543
