# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.002        0.000       28.215     2581.930
       0.203       36.075       55.227     2711.941
       0.404       32.325       59.363     2711.941
       0.604       17.450       60.684     2711.941
       0.805       60.950       74.312     2713.941
       1.006       62.250       87.020     2713.941
       1.207       61.025       98.668     2713.941
       1.408       39.850      100.098     2715.941
       1.608       14.950      101.762     2715.941
       1.809       26.150      103.715     2715.941
       2.010       28.650      105.793     2717.941
       2.211       27.375      107.043     2717.941
       2.411       21.175      108.598     2723.984
       2.612       39.850      110.750     2919.004
       2.813       16.175      111.398     2919.004
       3.014       24.900      112.730     2919.004
       3.214       23.675      114.605     2921.004
       3.415       39.825      116.695     2921.004
       3.618       54.375      121.516     2923.004
       3.818       51.000      123.648     2990.008
       4.020       29.800      124.031     2990.008
       4.220        9.975      124.895     2990.008
       4.421        8.725      124.895     2990.008
       4.622        8.725      125.148     2990.008
       4.823        9.950      125.883     2990.008
       5.023       18.700      121.969     2990.008
       5.224       11.200      122.141     2990.008
       5.425        8.700      122.219     2990.008
       5.626       19.900      122.566     2992.008
       5.827       23.600      123.750     2992.008
       6.028       12.450      124.105     2992.008
       6.229       18.650      124.527     2992.008
       6.430       18.650      125.301     2992.008
       6.631        9.950      126.219     2992.008
       6.832       27.400      130.156     2992.008
       7.033       19.925      130.918     2992.008
       7.234       13.700      131.805     2992.008
       7.435       21.175      133.352     2994.008
       7.635       14.925      133.668     2994.008
       7.836       33.600      134.566     2994.008
       8.037       21.150      135.258     2994.008
       8.239       36.050      138.293     2994.008
       8.439       17.450      139.363     2996.008
       8.640       17.425      140.418     2996.008
       8.841       24.875      141.887     2996.008
       9.042       27.375      143.051     2996.008
       9.243       68.375      170.914     2998.008
       9.444       58.500      172.305     2998.008
       9.645       59.750      173.863     2998.008
       9.846       16.175      175.527     3000.008
      10.046       23.700      173.000     3000.008
      10.247       49.775      173.957     3000.008
      10.448       24.900      174.117     3065.012
      10.649       46.050      178.238     3067.012
      10.850       44.825      183.242     3067.012
      11.051       33.550      184.199     3073.141
      11.252       24.900      186.793     3140.145
      11.452       39.825      188.895     3335.156
      11.653       57.250      191.145     3337.156
      11.854       65.950      193.453     3337.156
      12.056       50.975      195.289     3337.156
      12.257       26.125      197.379     3339.156
      12.457       22.425      198.730     3339.156
      12.658       42.300      201.395     3339.156
      12.859       44.800      203.191     3341.156
      13.060       13.700      205.469     3343.156
      13.261       16.200      206.469     3343.156
      13.462       18.675      208.410     3343.156
      13.662       21.150      210.578     3345.156
      13.863        9.950      211.738     3345.156
      14.064       21.150      212.598     3347.156
      14.266       44.675      215.023     3412.160
      14.467       69.650      230.988     3414.160
      14.668       53.525      235.129     3414.160
      14.869       57.175      235.992     3414.160
      15.072       66.450      236.465     3414.160
      15.273       44.825      236.656     3414.160
      15.474       47.275      239.676     3414.160
      15.675        7.475      240.012     3414.160
      15.877       32.150      240.164     3414.160
      16.078       37.325      240.262     3414.160
      16.278       13.700      240.602     3414.160
      16.480       43.450      241.512     3414.160
      16.681       48.550      242.051     3416.160
      16.881       69.600      243.312     3416.160
      17.083       59.650      243.980     3416.160
      17.284       63.450      244.195     3416.160
      17.490       71.600      245.004     3416.160
      17.691       51.000      248.312     3620.207
      17.892       64.725      254.055     3622.207
      18.093       52.250      255.941     3622.207
      18.294       44.800      258.293     3624.207
      18.495       34.750      259.730     3624.207
      18.701        0.000      259.730     3624.207
      18.904        0.000      259.730     3624.207
      19.108        0.000      259.730     3624.207
      19.312        0.000      259.730     3624.207
      19.514       11.175      259.770     3624.207
      19.715       85.825      263.254     3624.207
      19.916       84.300      263.625     3625.211
      20.117       89.500      259.652     3627.211
      20.319       78.275      263.207     3627.211
      20.521       90.150      263.641     3627.211
      20.722       80.975      265.121     3627.211
      20.923       89.575      266.738     3627.211
      21.124       80.925      273.445     3627.211
      21.325       90.775      276.777     3627.211
      21.526       85.800      283.234     3627.211
      21.727       89.575      280.480     3627.211
      21.928       80.825      296.793     3627.211
      22.129       87.100      301.074     3627.211
      22.330       83.350      302.281     3627.211
      22.530       80.875      302.914     3627.211
      22.732       73.325      303.242     3627.211
      22.933       68.425      303.730     3627.211
      23.133       74.700      303.895     3627.211
      23.334       79.625      306.211     3627.211
      23.536       78.275      306.371     3627.211
      23.737       58.450      308.551     3627.340
      23.938       29.800      308.805     3627.340
      24.142        0.000      308.805     3627.340
      24.349        0.000      308.805     3627.340
      24.554        0.000      308.805     3627.340
