# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.002        0.000       15.945      231.074
       0.203        4.975       20.371      235.145
       0.404        8.700       76.625      320.148
       0.605       14.925      108.234      464.156
       0.806       23.625      129.715     1696.340
       1.011        4.875      129.105     1768.344
       1.214        0.000      129.105     1768.344
       1.417        0.000      129.105     1768.344
       1.624        0.000      129.105     1768.344
       1.831        6.050      127.777     1764.344
       2.032       31.050      128.938     1767.344
       2.234       37.300      127.445     1767.344
       2.435       42.225      126.871     1764.344
       2.636       38.525      129.203     1769.344
       2.837       39.775      128.625     1767.344
       3.038       38.575      126.836     1764.344
       3.239       41.025      129.555     1768.344
       3.440       37.275      127.805     1767.344
       3.641       37.325      126.652     1767.344
       3.842       42.300      127.488     1764.344
       4.043       40.950      129.566     1771.344
       4.244       38.575      129.176     1769.344
       4.445       41.050      128.492     1767.344
       4.646       38.550      125.488     1764.344
       4.847       39.800      130.918     1769.344
       5.048       39.800      130.469     1769.344
       5.249       37.325      130.254     1767.344
       5.451       29.700      130.840     1769.344
       5.658        0.000      130.840     1769.344
       5.865        4.825      128.500     1764.344
       6.073        0.000      128.500     1764.344
       6.275        0.000      128.500     1764.344
