# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       17.320      150.258
       0.203        4.975       36.105      232.332
       0.407       12.250       67.227     1319.391
       0.615        0.000       67.227     1319.391
       0.817        0.000       67.227     1319.391
       1.023        0.000       67.227     1319.391
       1.228        0.000       67.227     1319.391
       1.430        7.450       67.484     1321.391
       1.631       36.075       64.680     1319.391
       1.832       38.550       65.316     1319.391
       2.033       37.325       66.297     1320.391
       2.234       41.050       66.918     1320.391
       2.435       39.750       67.672     1322.391
       2.636       39.825       65.848     1321.391
       2.837       39.775       66.082     1322.391
       3.043       23.025       65.223     1319.391
       3.250        0.000       65.223     1319.391
       3.457        0.000       65.227     1321.391
       3.664        0.000       65.227     1321.391
       3.871        0.000       65.227     1321.391
