# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       50.480     2636.145
       0.205       54.650      105.930     2758.148
       0.406       68.400      161.902     2897.156
       0.607       57.150      210.348     2955.156
       0.809       70.500      257.973     3076.160
       1.011       70.750      276.262     3220.176
       1.213       56.875      285.164     3222.176
       1.421       77.100      302.207     3228.219
       1.621       70.900      322.969     3230.219
       1.823       54.500      337.676     3232.219
       2.030       70.125      346.750     3234.219
       2.232       68.250      355.098     3234.219
       2.442       72.375      365.148     3236.219
       2.643       67.100      372.875     3237.219
       2.845       52.125      374.699     3239.219
       3.046       67.025      378.652     3239.219
       3.248       48.425      385.148     3241.219
       3.459       53.250      388.750     3373.227
       3.660       72.025      395.953     3374.227
       3.863       46.750      398.848     3903.289
       4.072        0.000      398.848     3903.289
       4.285        0.000      398.848     3903.289
       4.492       27.725      402.168     3903.289
       4.709        0.000      402.168     3903.289
       4.918        0.000      402.168     3903.289
       5.120        0.000      402.168     3903.289
       5.326        0.000      402.168     3903.289
       5.527       34.775      402.855     3903.418
       5.728       93.200      405.332     3905.418
       5.930       88.250      409.082     3905.418
       6.134       86.750      411.340     3905.418
       6.335       88.175      414.605     3905.418
       6.537       84.175      422.422     3906.418
       6.739       90.650      423.324     3906.418
       6.940       90.625      424.367     3908.418
       7.143       85.150      424.809     3908.418
       7.345       80.200      424.809     3908.418
       7.549       79.825      424.809     3908.418
       7.752       82.600      425.125     3908.418
       7.953       85.550      425.125     3908.418
       8.155       80.600      425.125     3908.418
       8.357       74.275      425.375     3908.418
       8.558       79.325      426.203     3909.418
       8.760       68.175      426.461     3909.418
       8.962       24.775      426.461     3909.418
       9.164       26.000      426.461     3909.418
       9.369        0.000      426.461     3909.418
       9.572        0.000      426.461     3909.418
