# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000       27.910     2581.930
       0.202       44.825       45.105     2646.934
       0.403       28.575       51.461     2713.941
       0.604       42.225       57.855     2713.941
       0.805       51.000       70.773     2715.941
       1.007       62.100       80.246     2715.941
       1.208       63.350       92.738     2717.941
       1.409       34.825       95.391     2723.984
       1.610       38.550       97.598     2919.004
       1.811       43.525       99.852     2919.004
       2.012       42.175      103.527     2921.004
       2.214       53.500      108.543     2923.004
       2.415       41.000      110.977     2990.008
       2.616       19.875      110.969     2990.008
       2.817       14.925      111.223     2990.008
       3.018       22.375      112.484     2990.008
       3.219       16.200      112.879     2990.008
       3.420       29.850      113.914     2990.008
       3.621       19.875      115.926     2992.008
       3.822       24.875      117.895     2992.008
       4.023       21.175      120.379     2992.008
       4.224       39.850      123.441     2994.008
       4.425       59.750      131.609     2996.008
       4.625       62.250      133.941     2996.008
       4.826       38.625      133.781     3063.012
       5.027       19.900      131.352     3063.012
       5.228       55.850      148.879     3063.012
       5.429       44.775      151.363     3063.012
       5.630       41.125      153.672     3063.012
       5.831       42.300      156.602     3592.074
       6.032       46.000      160.039     3592.074
       6.237        3.650      156.750     3592.074
       6.439        0.000      156.750     3592.074
       6.641        0.000      156.750     3592.074
       6.844        0.000      156.750     3592.074
       7.046        8.675      157.348     3592.074
       7.247       82.050      160.238     3594.074
       7.451       88.450      162.355     3594.074
       7.653       86.750      163.379     3594.074
       7.853       84.650      165.656     3594.074
       8.054       83.475      166.711     3594.074
       8.256       78.075      167.531     3594.074
       8.461       76.900      168.879     3594.074
       8.662       75.850      175.129     3594.074
       8.863       72.175      180.352     3594.074
       9.063       49.825      188.340     3596.391
       9.266       27.075      194.719     3594.074
       9.471        0.000      194.719     3594.074
       9.673        0.000      194.719     3594.074
